Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Research Independent Study | EOS 394,IND Section 09,2802,2,2,0.0,2021-06-27 18:12:52.498069
Research Independent Study | EOS 394,IND Section 11,2803,1,1,0.0,2021-06-27 18:12:54.830013
Research Independent Study | EOS 394,IND Section 12,2804,1,1,0.0,2021-06-27 18:12:57.150829
Research Independent Study | EOS 394,IND Section 15,2805,1,1,0.0,2021-06-27 18:12:59.610780
Research Independent Study | EOS 394,IND Section 16,2806,5,5,0.0,2021-06-27 18:13:01.948863
Research Independent Study | EOS 394,IND Section 20,2807,5,5,0.0,2021-06-27 18:13:04.376356
Research Independent Study | EOS 394,IND Section 22,2808,5,5,0.0,2021-06-27 18:13:06.822067
Senior Capstone Experience | EOS 410S,SEM Section 01,8791,12,14,14.285714285714285,2021-06-27 18:13:09.407655
The Dynamic Earth | EOS 101,Lecture Section 01,8784,31,200,84.5,2021-06-27 18:16:32.712648
The Dynamic Oceans | EOS 102,Lecture Section 01,8781,57,200,71.5,2021-06-27 18:16:35.835374
"The Solid Earth: Minerals, Rocks, and Structural Geology | EOS 201L",Lecture Section 001,8789,8,12,33.33333333333333,2021-06-27 18:16:38.474939
"The Solid Earth: Minerals, Rocks, and Structural Geology | EOS 201L",Laboratory Section 01L,8790,8,12,33.33333333333333,2021-06-27 18:16:40.904723
Evolving Earth and Life | EOS 204L,Lecture Section 001,8785,9,40,77.5,2021-06-27 18:16:43.389815
Evolving Earth and Life | EOS 204L,Laboratory Section 01L,8786,9,40,77.5,2021-06-27 18:16:45.716961
Introduction to Atmospheric Chemistry: From Air Pollution to Climate Change | EOS 239,Lecture Section 01,9585,0,12,100.0,2021-06-27 18:16:48.191974
Introduction to Atmospheric Chemistry: From Air Pollution to Climate Change | EOS 239,Lecture Section 02,11299,9,10,10.0,2021-06-27 18:16:50.754926
Analysis of Ocean Ecosystems | EOS 272A,Lecture Section 01,5059,7,10,30.0,2021-06-27 18:16:53.088947
Analysis of Ocean Ecosystems | EOS 272A,Lecture Section 02,5061,0,2,100.0,2021-06-27 18:16:55.434792
Sound in the Sea: Introduction to Marine Bioacoustics | EOS 280LA,LL Section 01,5066,6,10,40.0,2021-06-27 18:16:57.756121
Sound in the Sea: Introduction to Marine Bioacoustics | EOS 280LA,LL Section 02,5069,5,5,0.0,2021-06-27 18:17:00.173906
"Waves, Beaches, and Coastline Dynamics | EOS 315",Lecture Section 01,8782,17,20,15.0,2021-06-27 18:17:02.606350
Global Warming | EOS 355D,Lecture Section 001,10001,9,44,79.54545454545455,2021-06-27 18:17:05.079600
Global Warming | EOS 355D,Discussion Section 01D,10042,2,22,90.9090909090909,2021-06-27 18:17:07.821139
Global Warming | EOS 355D,Discussion Section 02D,10196,7,22,68.18181818181817,2021-06-27 18:17:10.943257
Introduction to Weather and Climate | EOS 365,Lecture Section 01,8793,11,30,63.33333333333333,2021-06-27 18:17:13.506260
Marine Ecology | EOS 374LA,Laboratory Section 01,5063,0,8,100.0,2021-06-27 18:17:15.836355
Independent Study | EOS 391,IND Section 01,2768,0,1,100.0,2021-06-27 18:17:18.219931
Independent Study | EOS 391,IND Section 02,2769,1,1,0.0,2021-06-27 18:17:20.575475
Independent Study | EOS 391,IND Section 03,2770,1,1,0.0,2021-06-27 18:17:22.930131
Independent Study | EOS 391,IND Section 04,2771,1,1,0.0,2021-06-27 18:17:25.233271
Independent Study | EOS 391,IND Section 05,2772,3,3,0.0,2021-06-27 18:17:27.537041
Independent Study | EOS 391,IND Section 06,2773,5,5,0.0,2021-06-27 18:17:29.841946
Independent Study | EOS 391,IND Section 07,2774,5,5,0.0,2021-06-27 18:17:32.175329
Independent Study | EOS 391,IND Section 08,2775,5,5,0.0,2021-06-27 18:17:34.506374
Research Independent Study | EOS 393,IND Section 01,2776,4,4,0.0,2021-06-27 18:17:36.844171
Research Independent Study | EOS 393,IND Section 02,2777,4,4,0.0,2021-06-27 18:17:39.250740
Research Independent Study | EOS 393,IND Section 03,2778,4,4,0.0,2021-06-27 18:17:41.601015
Research Independent Study | EOS 393,IND Section 04,2779,5,5,0.0,2021-06-27 18:17:43.929811
Research Independent Study | EOS 393,IND Section 05,2780,10,10,0.0,2021-06-27 18:17:46.324388
Research Independent Study | EOS 393,IND Section 06,2781,1,1,0.0,2021-06-27 18:17:48.880854
Research Independent Study | EOS 393,IND Section 08,2782,10,10,0.0,2021-06-27 18:17:51.509003
Research Independent Study | EOS 393,IND Section 09,2783,10,10,0.0,2021-06-27 18:17:53.939526
Research Independent Study | EOS 393,IND Section 11,2784,10,10,0.0,2021-06-27 18:17:56.691507
Research Independent Study | EOS 393,IND Section 12,2785,10,10,0.0,2021-06-27 18:17:59.557589
Research Independent Study | EOS 393,IND Section 13,2786,4,4,0.0,2021-06-27 18:18:02.206064
Research Independent Study | EOS 393,IND Section 14,2787,1,1,0.0,2021-06-27 18:18:04.761617
Research Independent Study | EOS 393,IND Section 16,2788,1,1,0.0,2021-06-27 18:18:07.219035
Research Independent Study | EOS 393,IND Section 17,2789,1,1,0.0,2021-06-27 18:18:09.649792
