Class Name,Department,Catalog Number,Section Type,Section Number,Class Number,Open Seats,Total Seats,Percent,Timestamp
Projects in Biomedical Engineering (GE),BME,394,IND,37,8497,1,1,0.0,6/27/2021 6:22:46 PM
Projects in Biomedical Engineering (GE),BME,394,IND,38,8498,1,1,0.0,6/27/2021 6:22:48 PM
Projects in Biomedical Engineering (GE),BME,394,IND,39,8499,1,1,0.0,6/27/2021 6:22:51 PM
Projects in Biomedical Engineering (GE),BME,394,IND,40,8500,1,1,0.0,6/27/2021 6:22:53 PM
Biophotonic Instrumentation (DR),BME,436L,Lecture,001,8501,2,14,85.71428571428571,6/27/2021 6:22:55 PM
Biophotonic Instrumentation (DR),BME,436L,Laboratory,01L,8502,2,14,85.71428571428571,6/27/2021 6:22:58 PM
Devices for People with Disabilities (DR),BME,460L,Lecture,001,8503,5,21,76.19047619047619,6/27/2021 6:23:00 PM
Devices for People with Disabilities (DR),BME,460L,Laboratory,01L,8504,1,10,90.0,6/27/2021 6:23:03 PM
Devices for People with Disabilities (DR),BME,460L,Laboratory,02L,8505,4,11,63.63636363636363,6/27/2021 6:23:05 PM
Medical Instrument Design (DR),BME,464L,Lecture,001,8506,19,20,5.0,6/27/2021 6:23:07 PM
Medical Instrument Design (DR),BME,464L,Laboratory,01L,8507,9,10,10.0,6/27/2021 6:23:10 PM
Medical Device Design I,BME,473L,Lecture,001,8508,0,18,100.0,6/27/2021 6:23:12 PM
Medical Device Design I,BME,473L,Laboratory,01L,8509,0,18,100.0,6/27/2021 6:23:15 PM
Medical Device Design II,BME,474L,Lecture,001,8510,4,18,77.77777777777779,6/27/2021 6:23:17 PM
Medical Device Design II,BME,474L,Laboratory,01L,8511,4,18,77.77777777777779,6/27/2021 6:23:19 PM
Special Topics in Biomedical Engineering Design (DR),BME,490L,Lecture,001,8513,13,26,50.0,6/27/2021 6:23:22 PM
Special Topics in Biomedical Engineering Design (DR),BME,490L,Lecture,002,8514,12,20,40.0,6/27/2021 6:23:24 PM
Special Topics in Biomedical Engineering Design (DR),BME,490L,Laboratory,01L,8515,2,6,66.66666666666666,6/27/2021 6:23:27 PM
Special Topics in Biomedical Engineering Design (DR),BME,490L,Laboratory,02L,8516,14,20,30.0,6/27/2021 6:23:29 PM
Special Topics in Biomedical Engineering Design (DR),BME,490L,Laboratory,03L,8517,2,5,60.0,6/27/2021 6:23:31 PM
Special Topics in Biomedical Engineering Design (DR),BME,490L,Laboratory,04L,8518,12,20,40.0,6/27/2021 6:23:34 PM
Projects in Biomedical Engineering (GE),BME,493,IND,01,8519,0,1,100.0,6/27/2021 6:23:36 PM
Projects in Biomedical Engineering (GE),BME,493,IND,02,8520,0,1,100.0,6/27/2021 6:23:38 PM
Projects in Biomedical Engineering (GE),BME,493,IND,03,8521,0,1,100.0,6/27/2021 6:23:41 PM
Projects in Biomedical Engineering (GE),BME,493,IND,04,8522,0,1,100.0,6/27/2021 6:23:43 PM
Projects in Biomedical Engineering (GE),BME,493,IND,05,8523,0,1,100.0,6/27/2021 6:23:45 PM
Projects in Biomedical Engineering (GE),BME,493,IND,06,8524,0,1,100.0,6/27/2021 6:23:48 PM
Projects in Biomedical Engineering (GE),BME,493,IND,07,8525,0,1,100.0,6/27/2021 6:23:50 PM
Projects in Biomedical Engineering (GE),BME,493,IND,08,8526,0,1,100.0,6/27/2021 6:23:52 PM
Projects in Biomedical Engineering (GE),BME,493,IND,09,8527,0,1,100.0,6/27/2021 6:23:55 PM
Projects in Biomedical Engineering (GE),BME,493,IND,10,8528,0,1,100.0,6/27/2021 6:23:57 PM
Projects in Biomedical Engineering (GE),BME,493,IND,11,8529,0,1,100.0,6/27/2021 6:23:59 PM
Projects in Biomedical Engineering (GE),BME,493,IND,12,8530,0,1,100.0,6/27/2021 6:24:02 PM
Projects in Biomedical Engineering (GE),BME,493,IND,13,8531,0,1,100.0,6/27/2021 6:24:04 PM
Projects in Biomedical Engineering (GE),BME,493,IND,14,8532,0,1,100.0,6/27/2021 6:24:06 PM
Projects in Biomedical Engineering (GE),BME,493,IND,15,8533,0,1,100.0,6/27/2021 6:24:09 PM
Projects in Biomedical Engineering (GE),BME,493,IND,16,8534,0,1,100.0,6/27/2021 6:24:11 PM
Projects in Biomedical Engineering (GE),BME,493,IND,17,8535,0,1,100.0,6/27/2021 6:24:13 PM
Projects in Biomedical Engineering (GE),BME,493,IND,18,8536,0,1,100.0,6/27/2021 6:24:16 PM
Projects in Biomedical Engineering (GE),BME,493,IND,19,8537,0,1,100.0,6/27/2021 6:24:18 PM
Projects in Biomedical Engineering (GE),BME,493,IND,20,8538,0,1,100.0,6/27/2021 6:24:20 PM
Projects in Biomedical Engineering (GE),BME,493,IND,21,8539,0,1,100.0,6/27/2021 6:24:23 PM
Projects in Biomedical Engineering (GE),BME,493,IND,22,8540,1,1,0.0,6/27/2021 6:24:25 PM
Projects in Biomedical Engineering (GE),BME,493,IND,23,8541,1,1,0.0,6/27/2021 6:24:28 PM
Projects in Biomedical Engineering (GE),BME,493,IND,24,8542,1,1,0.0,6/27/2021 6:24:30 PM
Projects in Biomedical Engineering (GE),BME,493,IND,25,8543,1,1,0.0,6/27/2021 6:24:32 PM
Projects in Biomedical Engineering (GE),BME,493,IND,26,8544,1,1,0.0,6/27/2021 6:24:35 PM
Projects in Biomedical Engineering (GE),BME,493,IND,27,8545,1,1,0.0,6/27/2021 6:24:37 PM
Projects in Biomedical Engineering (GE),BME,493,IND,28,8546,1,1,0.0,6/27/2021 6:24:40 PM
Projects in Biomedical Engineering (GE),BME,493,IND,29,8547,1,1,0.0,6/27/2021 6:24:42 PM
Projects in Biomedical Engineering (GE),BME,493,IND,30,8548,1,1,0.0,6/27/2021 6:24:44 PM
Projects in Biomedical Engineering (GE),BME,493,IND,31,8549,1,1,0.0,6/27/2021 6:24:47 PM
Projects in Biomedical Engineering (GE),BME,493-1,IND,02,8551,0,1,100.0,6/27/2021 6:24:49 PM
Projects in Biomedical Engineering (GE),BME,494,IND,01,8552,0,1,100.0,6/27/2021 6:24:52 PM
Projects in Biomedical Engineering (GE),BME,494,IND,02,8553,0,1,100.0,6/27/2021 6:24:54 PM
Projects in Biomedical Engineering (GE),BME,494,IND,03,8554,0,1,100.0,6/27/2021 6:24:56 PM
Projects in Biomedical Engineering (GE),BME,494,IND,04,8555,0,1,100.0,6/27/2021 6:24:59 PM
Projects in Biomedical Engineering (GE),BME,494,IND,05,8556,0,1,100.0,6/27/2021 6:25:01 PM
Projects in Biomedical Engineering (GE),BME,494,IND,06,8557,0,1,100.0,6/27/2021 6:25:03 PM
Projects in Biomedical Engineering (GE),BME,494,IND,07,8558,0,1,100.0,6/27/2021 6:25:06 PM
Projects in Biomedical Engineering (GE),BME,494,IND,08,8559,0,1,100.0,6/27/2021 6:25:08 PM
Projects in Biomedical Engineering (GE),BME,494,IND,09,8560,0,1,100.0,6/27/2021 6:25:11 PM
Projects in Biomedical Engineering (GE),BME,494,IND,10,8561,0,1,100.0,6/27/2021 6:25:13 PM
Projects in Biomedical Engineering (GE),BME,494,IND,11,8562,0,1,100.0,6/27/2021 6:25:15 PM
Projects in Biomedical Engineering (GE),BME,494,IND,12,8563,0,1,100.0,6/27/2021 6:25:18 PM
Projects in Biomedical Engineering (GE),BME,494,IND,13,8564,0,1,100.0,6/27/2021 6:25:20 PM
Projects in Biomedical Engineering (GE),BME,494,IND,14,8565,0,1,100.0,6/27/2021 6:25:22 PM
Projects in Biomedical Engineering (GE),BME,494,IND,15,8566,0,1,100.0,6/27/2021 6:25:25 PM
Projects in Biomedical Engineering (GE),BME,494,IND,16,8567,0,1,100.0,6/27/2021 6:25:27 PM
Projects in Biomedical Engineering (GE),BME,494,IND,17,8568,1,1,0.0,6/27/2021 6:25:29 PM
Projects in Biomedical Engineering (GE),BME,494,IND,18,8569,0,1,100.0,6/27/2021 6:25:32 PM
Projects in Biomedical Engineering (GE),BME,494,IND,19,8570,0,1,100.0,6/27/2021 6:25:34 PM
Projects in Biomedical Engineering (GE),BME,494,IND,20,8571,0,1,100.0,6/27/2021 6:25:36 PM
Projects in Biomedical Engineering (GE),BME,494,IND,21,8572,0,1,100.0,6/27/2021 6:25:39 PM
Projects in Biomedical Engineering (GE),BME,494,IND,22,8573,0,1,100.0,6/27/2021 6:25:41 PM
Projects in Biomedical Engineering (GE),BME,494,IND,23,8574,0,1,100.0,6/27/2021 6:25:44 PM
Projects in Biomedical Engineering (GE),BME,494,IND,24,8575,0,1,100.0,6/27/2021 6:25:46 PM
Projects in Biomedical Engineering (GE),BME,494,IND,25,8576,0,1,100.0,6/27/2021 6:25:48 PM
Projects in Biomedical Engineering (GE),BME,494,IND,26,8577,0,1,100.0,6/27/2021 6:25:51 PM
Projects in Biomedical Engineering (GE),BME,494,IND,27,8578,0,1,100.0,6/27/2021 6:25:53 PM
Projects in Biomedical Engineering (GE),BME,494,IND,28,8579,1,1,0.0,6/27/2021 6:25:55 PM
Projects in Biomedical Engineering (GE),BME,494,IND,29,8580,1,1,0.0,6/27/2021 6:25:58 PM
Projects in Biomedical Engineering (GE),BME,494,IND,30,8581,1,1,0.0,6/27/2021 6:26:00 PM
Projects in Biomedical Engineering (GE),BME,494,IND,31,8582,1,1,0.0,6/27/2021 6:26:02 PM
Projects in Biomedical Engineering (GE),BME,494,IND,32,8583,1,1,0.0,6/27/2021 6:26:05 PM
Projects in Biomedical Engineering (GE),BME,494,IND,33,8584,1,1,0.0,6/27/2021 6:26:07 PM
Projects in Biomedical Engineering (GE),BME,494,IND,34,8585,1,1,0.0,6/27/2021 6:26:09 PM
Projects in Biomedical Engineering (GE),BME,494,IND,35,8586,1,1,0.0,6/27/2021 6:26:12 PM
Projects in Biomedical Engineering (GE),BME,494,IND,36,8587,1,1,0.0,6/27/2021 6:26:14 PM
Projects in Biomedical Engineering (GE),BME,494,IND,37,8588,1,1,0.0,6/27/2021 6:26:17 PM
Projects in Biomedical Engineering (GE),BME,494,IND,38,8589,1,1,0.0,6/27/2021 6:26:19 PM
Projects in Biomedical Engineering (GE),BME,494,IND,39,8590,1,1,0.0,6/27/2021 6:26:21 PM
Projects in Biomedical Engineering (GE),BME,494,IND,40,8591,1,1,0.0,6/27/2021 6:26:24 PM
Projects in Biomedical Engineering (GE),BME,494,IND,41,8592,1,1,0.0,6/27/2021 6:26:26 PM
Projects in Biomedical Engineering (GE),BME,494,IND,42,8593,1,1,0.0,6/27/2021 6:26:28 PM
Projects in Biomedical Engineering (GE),BME,494,IND,43,8594,1,1,0.0,6/27/2021 6:26:31 PM
Projects in Biomedical Engineering (GE),BME,494,IND,44,8595,1,1,0.0,6/27/2021 6:26:33 PM
Projects in Biomedical Engineering (GE),BME,494,IND,45,8596,1,1,0.0,6/27/2021 6:26:36 PM
Projects in Biomedical Engineering (GE),BME,494,IND,46,8597,1,1,0.0,6/27/2021 6:26:38 PM
Projects in Biomedical Engineering (GE),BME,494,IND,47,8598,1,1,0.0,6/27/2021 6:26:40 PM
Projects in Biomedical Engineering (GE),BME,494,IND,48,8599,1,1,0.0,6/27/2021 6:26:43 PM
Projects in Biomedical Engineering (GE),BME,494,IND,49,8600,1,1,0.0,6/27/2021 6:26:45 PM
Projects in Biomedical Engineering (GE),BME,494,IND,50,8601,1,1,0.0,6/27/2021 6:26:48 PM
Projects in Biomedical Engineering (GE),BME,494,IND,51,8602,1,1,0.0,6/27/2021 6:26:50 PM
Projects in Biomedical Engineering (GE),BME,494,IND,52,8603,1,1,0.0,6/27/2021 6:26:52 PM
Projects in Biomedical Engineering (GE),BME,494,IND,53,8604,1,1,0.0,6/27/2021 6:26:55 PM
Projects in Biomedical Engineering (GE),BME,494,IND,54,8605,1,1,0.0,6/27/2021 6:26:57 PM
Projects in Biomedical Engineering (GE),BME,494,IND,55,8606,1,1,0.0,6/27/2021 6:26:59 PM
Projects in Biomedical Engineering (GE),BME,494,IND,56,8607,1,1,0.0,6/27/2021 6:27:02 PM
Projects in Biomedical Engineering (GE),BME,494,IND,57,8608,1,1,0.0,6/27/2021 6:27:04 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,01,3158,18,18,0.0,6/27/2021 5:32:52 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,02,3159,18,18,0.0,6/27/2021 5:32:54 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,03,3160,17,18,5.555555555555555,6/27/2021 5:32:57 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,04,3161,18,18,0.0,6/27/2021 5:32:59 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,05,3162,18,18,0.0,6/27/2021 5:33:01 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,06,3163,18,18,0.0,6/27/2021 5:33:04 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,07,3164,18,18,0.0,6/27/2021 5:33:06 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,08,3165,18,18,0.0,6/27/2021 5:33:09 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,09,3166,18,18,0.0,6/27/2021 5:33:11 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,10,3167,18,18,0.0,6/27/2021 5:33:13 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,11,3168,18,18,0.0,6/27/2021 5:33:16 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,12,3169,18,18,0.0,6/27/2021 5:33:18 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,13,3170,18,18,0.0,6/27/2021 5:33:20 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,14,3171,18,18,0.0,6/27/2021 5:33:23 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395,IND,15,3172,18,18,0.0,6/27/2021 5:33:25 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,01,3173,18,18,0.0,6/27/2021 5:33:27 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,02,3174,18,18,0.0,6/27/2021 5:33:30 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,03,3175,18,18,0.0,6/27/2021 5:33:32 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,04,3176,18,18,0.0,6/27/2021 5:33:35 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,05,3177,17,18,5.555555555555555,6/27/2021 5:33:37 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,06,3178,18,18,0.0,6/27/2021 5:33:39 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,07,3179,18,18,0.0,6/27/2021 5:33:42 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,08,3180,18,18,0.0,6/27/2021 5:33:44 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,09,3181,18,18,0.0,6/27/2021 5:33:46 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,10,3182,18,18,0.0,6/27/2021 5:33:49 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,11,3183,18,18,0.0,6/27/2021 5:33:51 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,12,3184,18,18,0.0,6/27/2021 5:33:53 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,13,3185,18,18,0.0,6/27/2021 5:33:56 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,14,3186,18,18,0.0,6/27/2021 5:33:58 PM
Bass Connections in Brain and Society: Interdisciplinary Team Projects,BRAINSOC,395-1,IND,15,3187,18,18,0.0,6/27/2021 5:34:00 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,395T,TUT,01,3188,18,18,0.0,6/27/2021 5:34:03 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,395T,TUT,02,3189,18,18,0.0,6/27/2021 5:34:05 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,395T,TUT,03,3190,18,18,0.0,6/27/2021 5:34:07 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,395T,TUT,04,3191,18,18,0.0,6/27/2021 5:34:10 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,395T,TUT,05,3192,18,18,0.0,6/27/2021 5:34:12 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,395T,TUT,06,3193,18,18,0.0,6/27/2021 5:34:14 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,395T,TUT,07,3194,18,18,0.0,6/27/2021 5:34:17 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,395T,TUT,08,3195,18,18,0.0,6/27/2021 5:34:19 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,395T,TUT,09,3196,18,18,0.0,6/27/2021 5:34:22 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,395T,TUT,10,3197,18,18,0.0,6/27/2021 5:34:24 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,01,3198,18,18,0.0,6/27/2021 5:34:26 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,02,3199,14,18,22.22222222222222,6/27/2021 5:34:29 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,03,3200,16,18,11.11111111111111,6/27/2021 5:34:31 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,04,3201,18,18,0.0,6/27/2021 5:34:33 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,05,3202,18,18,0.0,6/27/2021 5:34:36 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,06,3203,17,18,5.555555555555555,6/27/2021 5:34:38 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,07,3204,15,18,16.666666666666664,6/27/2021 5:34:41 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,08,3205,15,18,16.666666666666664,6/27/2021 5:34:43 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,09,3206,18,18,0.0,6/27/2021 5:34:45 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,10,3207,18,18,0.0,6/27/2021 5:34:48 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,12,3208,18,18,0.0,6/27/2021 5:34:50 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,13,3209,18,18,0.0,6/27/2021 5:34:52 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,14,3210,18,18,0.0,6/27/2021 5:34:55 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396,IND,15,3211,18,18,0.0,6/27/2021 5:34:57 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,01,3212,18,18,0.0,6/27/2021 5:34:59 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,02,3213,13,18,27.77777777777778,6/27/2021 5:35:02 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,03,3214,18,18,0.0,6/27/2021 5:35:04 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,04,3215,18,18,0.0,6/27/2021 5:35:06 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,05,3216,18,18,0.0,6/27/2021 5:35:09 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,06,3217,18,18,0.0,6/27/2021 5:35:11 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,07,3218,18,18,0.0,6/27/2021 5:35:13 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,08,3219,18,18,0.0,6/27/2021 5:35:16 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,09,3220,18,18,0.0,6/27/2021 5:35:18 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,10,3221,18,18,0.0,6/27/2021 5:35:21 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,11,3222,18,18,0.0,6/27/2021 5:35:23 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,12,3223,18,18,0.0,6/27/2021 5:35:25 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,13,3224,18,18,0.0,6/27/2021 5:35:28 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,14,3225,18,18,0.0,6/27/2021 5:35:30 PM
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects,BRAINSOC,396-1,IND,15,3226,18,18,0.0,6/27/2021 5:35:32 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,396T,TUT,01,11902,18,18,0.0,6/27/2021 5:35:35 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,396T,TUT,02,11903,18,18,0.0,6/27/2021 5:35:37 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,396T,TUT,03,11904,18,18,0.0,6/27/2021 5:35:40 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,396T,TUT,04,11905,18,18,0.0,6/27/2021 5:35:42 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,396T,TUT,05,11906,9,18,50.0,6/27/2021 5:35:44 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,396T,TUT,06,11907,18,18,0.0,6/27/2021 5:35:47 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,396T,TUT,07,11908,18,18,0.0,6/27/2021 5:35:49 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,396T,TUT,08,11909,18,18,0.0,6/27/2021 5:35:51 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,396T,TUT,09,11910,18,18,0.0,6/27/2021 5:35:54 PM
Bass Connections in Brain & Society Research Team,BRAINSOC,396T,TUT,10,11911,18,18,0.0,6/27/2021 5:35:56 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397,IND,01,3227,18,18,0.0,6/27/2021 5:35:59 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397,IND,02,3228,18,18,0.0,6/27/2021 5:36:01 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397,IND,03,3229,18,18,0.0,6/27/2021 5:36:04 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397,IND,04,3230,18,18,0.0,6/27/2021 5:36:06 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397,IND,05,3231,18,18,0.0,6/27/2021 5:36:08 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397,IND,06,3232,18,18,0.0,6/27/2021 5:36:11 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397,IND,07,3233,18,18,0.0,6/27/2021 5:36:13 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397,IND,08,3234,18,18,0.0,6/27/2021 5:36:16 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397,IND,09,3235,18,18,0.0,6/27/2021 5:36:18 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397,IND,10,3236,18,18,0.0,6/27/2021 5:36:21 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397,IND,11,3237,18,18,0.0,6/27/2021 5:36:24 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397-1,IND,01,3238,18,18,0.0,6/27/2021 5:36:26 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397-1,IND,02,3239,18,18,0.0,6/27/2021 5:36:28 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397-1,IND,03,3240,18,18,0.0,6/27/2021 5:36:31 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397-1,IND,04,3241,18,18,0.0,6/27/2021 5:36:33 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397-1,IND,05,3242,18,18,0.0,6/27/2021 5:36:35 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397-1,IND,06,3243,18,18,0.0,6/27/2021 5:36:38 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397-1,IND,07,3244,18,18,0.0,6/27/2021 5:36:40 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397-1,IND,08,3245,18,18,0.0,6/27/2021 5:36:42 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397-1,IND,09,3246,18,18,0.0,6/27/2021 5:36:45 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397-1,IND,10,3247,18,18,0.0,6/27/2021 5:36:47 PM
Bass Connections in Brain and Society 3: Interdisciplinary Team Projects,BRAINSOC,397-1,IND,11,3248,18,18,0.0,6/27/2021 5:36:50 PM
Bass Connections in Brain and Society 4: Interdisciplinary Team Projects,BRAINSOC,398,IND,01,3249,18,18,0.0,6/27/2021 5:36:52 PM
Bass Connections in Brain and Society 4: Interdisciplinary Team Projects,BRAINSOC,398,IND,02,3250,17,18,5.555555555555555,6/27/2021 5:36:55 PM
Bass Connections in Brain and Society 4: Interdisciplinary Team Projects,BRAINSOC,398,IND,03,3251,16,18,11.11111111111111,6/27/2021 5:36:57 PM
Bass Connections in Brain and Society 4: Interdisciplinary Team Projects,BRAINSOC,398,IND,04,3252,18,18,0.0,6/27/2021 5:37:00 PM
Bass Connections in Brain and Society 4: Interdisciplinary Team Projects,BRAINSOC,398,IND,05,3253,18,18,0.0,6/27/2021 5:37:02 PM
Bass Connections in Brain and Society 4: Interdisciplinary Team Projects,BRAINSOC,398,IND,06,3254,18,18,0.0,6/27/2021 5:37:05 PM
Bass Connections in Brain and Society 4: Interdisciplinary Team Projects,BRAINSOC,398,IND,07,3255,18,18,0.0,6/27/2021 5:37:07 PM
Bass Connections in Brain and Society 4: Interdisciplinary Team Projects,BRAINSOC,398,IND,08,3256,18,18,0.0,6/27/2021 5:37:09 PM
Bass Connections in Brain and Society 4: Interdisciplinary Team Projects,BRAINSOC,398,IND,09,3257,18,18,0.0,6/27/2021 5:37:12 PM
Bass Connections in Brain and Society 4: Interdisciplinary Team Projects,BRAINSOC,398,IND,10,3258,18,18,0.0,6/27/2021 5:37:14 PM
Bass Connections in Brain and Society 4: Interdisciplinary Team Projects,BRAINSOC,398,IND,11,3259,18,18,0.0,6/27/2021 5:37:16 PM
