Class Name,Department,Catalog Number,Section Type,Section Number,Class Number,Open Seats,Total Seats,Percent,Timestamp
Fundamentals of Web-Based Multimedia Communications,ISS,240L,Lecture,001,6852,5,15,66.66666666666666,6/27/2021 5:28:19 PM
Fundamentals of Web-Based Multimedia Communications,ISS,240L,Laboratory,01L,6854,5,15,66.66666666666666,6/27/2021 5:28:21 PM
Web Project Design and Development,ISS,241L,Laboratory,01L,10457,7,15,53.333333333333336,6/27/2021 5:28:24 PM
Humanities Text Mining and Meaning,ISS,255,Lecture,01,6856,8,15,46.666666666666664,6/27/2021 5:28:26 PM
Introduction to Digital Feminism,ISS,265S,SEM,01,5173,0,15,100.0,6/27/2021 5:28:28 PM
Interactive Graphics: Critical Code,ISS,294L,Lecture,001,7756,0,20,100.0,6/27/2021 5:28:31 PM
Interactive Graphics: Critical Code,ISS,294L,Laboratory,01L,7759,0,20,100.0,6/27/2021 5:28:33 PM
Introduction to Programming and User Interface Design in Unity 3D,ISS,320,Lecture,01,11169,1,14,92.85714285714286,6/27/2021 5:28:36 PM
Sample & Remix: Contemporary Cultural Production Across Arts & Media,ISS,321,Lecture,01,7772,2,30,93.33333333333333,6/27/2021 5:28:38 PM
Social Movements and Social Media,ISS,323S,SEM,01,6162,0,18,100.0,6/27/2021 5:28:40 PM
Theories and Practices of Data Visualization,ISS,366L,Lecture,001,3558,0,14,100.0,6/27/2021 5:28:43 PM
Theories and Practices of Data Visualization,ISS,366L,Lecture,002,11666,0,15,100.0,6/27/2021 5:28:45 PM
Theories and Practices of Data Visualization,ISS,366L,Laboratory,01L,3559,0,14,100.0,6/27/2021 5:28:48 PM
Theories and Practices of Data Visualization,ISS,366L,Laboratory,02L,11701,0,15,100.0,6/27/2021 5:28:50 PM
Performance and Technology: Composition Workshop,ISS,376,Lecture,01,5733,1,10,90.0,6/27/2021 5:28:52 PM
Performance and Technology: Composition Workshop,ISS,376,Lecture,02,5736,0,15,100.0,6/27/2021 5:28:55 PM
"Visualizing Cities: Representing Urban Landscapes, Cultures, and Environments",ISS,380,Lecture,01,6858,9,25,64.0,6/27/2021 5:28:57 PM
Bass Connections in Information Science and Culture: Independent Study Project,ISS,391,IND,01,6859,10,10,0.0,6/27/2021 5:28:59 PM
Bass Connections in Information Science and Culture: Independent Study Project,ISS,391,IND,02,6860,10,10,0.0,6/27/2021 5:29:02 PM
Bass Connections in Information Science and Culture: Independent Study Project,ISS,391,IND,03,6861,10,10,0.0,6/27/2021 5:29:04 PM
Bass Connections in Information Science and Culture: Independent Study Project,ISS,391,IND,04,6862,10,10,0.0,6/27/2021 5:29:06 PM
"Bass Connections Information, Society & Culture Research Team",ISS,396T,TUT,01,6873,10,10,0.0,6/27/2021 5:29:09 PM
"Bass Connections Information, Society & Culture Research Team",ISS,396T,TUT,02,6874,10,10,0.0,6/27/2021 5:29:11 PM
"Bass Connections Information, Society & Culture Research Team",ISS,396T,TUT,03,6875,10,10,0.0,6/27/2021 5:29:14 PM
Special Topics in Information Science + Studies,ISS,490S-1,SEM,01,6174,18,18,0.0,6/27/2021 5:29:16 PM
ISS Research Independent Study,ISS,493,IND,01,6878,3,3,0.0,6/27/2021 5:29:18 PM
ISS Research Independent Study,ISS,493,IND,02,10465,4,8,50.0,6/27/2021 5:29:21 PM
ISS Research Independent Study,ISS,493,IND,03,10466,12,18,33.33333333333333,6/27/2021 5:29:23 PM
ISS Research Independent Study,ISS,493,IND,04,10467,7,8,12.5,6/27/2021 5:29:26 PM
ISS Research Independent Study,ISS,493,IND,05,10468,1,10,90.0,6/27/2021 5:29:28 PM
ISS Research Independent Study,ISS,493,IND,06,10469,6,10,40.0,6/27/2021 5:29:31 PM
ISS Research Independent Study,ISS,493,IND,07,10470,4,10,60.0,6/27/2021 5:29:33 PM
ISS Research Independent Study,ISS,493,IND,08,10471,0,5,100.0,6/27/2021 5:29:36 PM
ISS Research Independent Study,ISS,493,IND,09,10472,9,10,10.0,6/27/2021 5:29:38 PM
ISS Research Independent Study,ISS,493,IND,10,10473,5,5,0.0,6/27/2021 5:29:40 PM
ISS Research Independent Study,ISS,493,IND,11,10474,5,5,0.0,6/27/2021 5:29:43 PM
ISS Research Independent Study,ISS,493,IND,12,10475,5,5,0.0,6/27/2021 5:29:45 PM
Foundations of Game Design,ISS,125L,Lecture,001,6848,1,15,93.33333333333333,6/27/2021 6:24:28 PM
Foundations of Game Design,ISS,125L,Laboratory,01L,6849,1,15,93.33333333333333,6/27/2021 6:24:30 PM
Experimental Sculpture and Installation Art,ISS,135,Lecture,01,3515,0,14,100.0,6/27/2021 6:24:32 PM
Experimental Interface Design,ISS,198,Lecture,01,3535,7,20,65.0,6/27/2021 6:24:35 PM
