Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Thrive | EGR 79D,Lecture Section 001,10120,144,144,0.0,No,2021-06-28 13:03:07.634376
Fundamentals of Data Analysis and Decision Science | EGR 238L,Laboratory Section 01L,8109,30,30,0.0,No,2021-06-28 13:05:06.329904
Engineering Systems Optimization and Economics | EGR 305,Lecture Section 01,8067,25,25,0.0,No,2021-06-28 13:05:08.745276
Thrive | EGR 79D,Lecture Section 001,10120,144,144,0.0,No,2021-06-29 19:23:05.350786
Thrive | EGR 79D,Discussion Section 01D,10121,12,12,0.0,No,2021-06-29 19:23:07.876941
Thrive | EGR 79D,Discussion Section 02D,10122,12,12,0.0,No,2021-06-29 19:23:10.429147
Thrive | EGR 79D,Discussion Section 03D,10123,12,12,0.0,No,2021-06-29 19:23:12.929270
Thrive | EGR 79D,Discussion Section 04D,10124,12,12,0.0,No,2021-06-29 19:23:15.411242
Thrive | EGR 79D,Discussion Section 05D,10125,12,12,0.0,No,2021-06-29 19:23:17.885419
Thrive | EGR 79D,Discussion Section 06D,10126,12,12,0.0,No,2021-06-29 19:23:20.372090
Thrive | EGR 79D,Discussion Section 07D,10127,12,12,0.0,No,2021-06-29 19:23:22.768687
Thrive | EGR 79D,Discussion Section 08D,10128,12,12,0.0,No,2021-06-29 19:23:25.205123
Thrive | EGR 79D,Discussion Section 09D,10129,12,12,0.0,No,2021-06-29 19:23:27.623886
Thrive | EGR 79D,Discussion Section 10D,10130,12,12,0.0,No,2021-06-29 19:23:30.179313
Thrive | EGR 79D,Discussion Section 11D,10131,12,12,0.0,No,2021-06-29 19:23:32.693756
Thrive | EGR 79D,Discussion Section 12D,10132,12,12,0.0,No,2021-06-29 19:23:35.155817
First Year seminar in Focus | EGR 95FS,SEM Section 01,8070,0,18,100.0,No,2021-06-29 19:23:37.524125
First Year seminar in Focus | EGR 95FS,SEM Section 02,8071,0,18,100.0,No,2021-06-29 19:23:39.905628
Engineering Design and Communication | EGR 101L,Lecture Section 001,8074,44,44,0.0,No,2021-06-29 19:23:42.274400
Engineering Design and Communication | EGR 101L,Lecture Section 002,8075,44,44,0.0,No,2021-06-29 19:23:44.685552
Engineering Design and Communication | EGR 101L,Lecture Section 003,8076,40,40,0.0,No,2021-06-29 19:23:47.193127
Engineering Design and Communication | EGR 101L,Lecture Section 004,8077,44,44,0.0,No,2021-06-29 19:23:49.610568
Engineering Design and Communication | EGR 101L,Lecture Section 005,8078,40,40,0.0,No,2021-06-29 19:23:51.954853
Engineering Design and Communication | EGR 101L,Lecture Section 006,8079,44,44,0.0,No,2021-06-29 19:23:54.315819
Engineering Design and Communication | EGR 101L,Lecture Section 007,8080,17,17,0.0,No,2021-06-29 19:23:56.736002
Engineering Design and Communication | EGR 101L,Lecture Section 008,8081,44,44,0.0,No,2021-06-29 19:23:59.103951
Engineering Design and Communication | EGR 101L,Lecture Section 009,8082,20,20,0.0,No,2021-06-29 19:24:01.457480
Engineering Design and Communication | EGR 101L,Laboratory Section 01L,8083,40,40,0.0,No,2021-06-29 19:24:03.798783
Engineering Design and Communication | EGR 101L,Laboratory Section 02L,8084,40,40,0.0,No,2021-06-29 19:24:06.211907
Engineering Design and Communication | EGR 101L,Laboratory Section 03L,8085,36,36,0.0,No,2021-06-29 19:24:08.615224
Engineering Design and Communication | EGR 101L,Laboratory Section 04L,8086,40,40,0.0,No,2021-06-29 19:24:10.941785
Engineering Design and Communication | EGR 101L,Laboratory Section 05L,8087,36,36,0.0,No,2021-06-29 19:24:13.298177
Engineering Design and Communication | EGR 101L,Laboratory Section 06L,8088,40,40,0.0,No,2021-06-29 19:24:15.612154
Engineering Design and Communication | EGR 101L,Laboratory Section 07L,8089,17,17,0.0,No,2021-06-29 19:24:17.958723
Engineering Design and Communication | EGR 101L,Laboratory Section 08L,8090,40,40,0.0,No,2021-06-29 19:24:20.291626
Engineering Design and Communication | EGR 101L,Laboratory Section 09L,8091,18,18,0.0,No,2021-06-29 19:24:22.633780
Computational Methods in Engineering | EGR 103L,Lecture Section 001,8853,150,150,0.0,No,2021-06-29 19:24:25.016285
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 02L,8814,30,30,0.0,No,2021-06-29 19:24:27.463738
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 03L,8815,30,30,0.0,No,2021-06-29 19:24:29.828369
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 05L,8816,30,30,0.0,No,2021-06-29 19:24:32.196557
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 06L,8817,30,30,0.0,No,2021-06-29 19:24:34.550966
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 08L,8818,30,30,0.0,No,2021-06-29 19:24:36.859417
Special Topics in Engineering | EGR 190,Lecture Section 01,8069,30,30,0.0,No,2021-06-29 19:24:39.183986
Mechanics of Solids | EGR 201L,Lecture Section 001,8058,50,50,0.0,No,2021-06-29 19:24:41.518912
Mechanics of Solids | EGR 201L,Lecture Section 002,8059,50,50,0.0,No,2021-06-29 19:24:43.915431
Mechanics of Solids | EGR 201L,Lecture Section 003,8060,50,50,0.0,No,2021-06-29 19:24:46.381682
Mechanics of Solids | EGR 201L,Laboratory Section 11L,8061,25,25,0.0,No,2021-06-29 19:24:48.731338
Mechanics of Solids | EGR 201L,Laboratory Section 12L,8062,25,25,0.0,No,2021-06-29 19:24:51.092503
Mechanics of Solids | EGR 201L,Laboratory Section 21L,8063,25,25,0.0,No,2021-06-29 19:24:53.523365
Mechanics of Solids | EGR 201L,Laboratory Section 22L,8064,25,25,0.0,No,2021-06-29 19:24:56.023369
Mechanics of Solids | EGR 201L,Laboratory Section 31L,8065,25,25,0.0,No,2021-06-29 19:24:58.502879
Mechanics of Solids | EGR 201L,Laboratory Section 32L,8066,25,25,0.0,No,2021-06-29 19:25:01.090574
Fundamentals of Data Analysis and Decision Science | EGR 238L,Lecture Section 001,8108,30,30,0.0,No,2021-06-29 19:25:03.474731
Fundamentals of Data Analysis and Decision Science | EGR 238L,Laboratory Section 01L,8109,30,30,0.0,No,2021-06-29 19:25:05.871874
Engineering Systems Optimization and Economics | EGR 305,Lecture Section 01,8067,25,25,0.0,No,2021-06-29 19:25:08.240428
