Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Independent Study | CINE 491,IND Section 03,9215,3,3,0.0,No,2021-06-28 13:03:51.367733
Independent Study | CINE 491,IND Section 04,9216,3,3,0.0,No,2021-06-28 13:03:53.687851
LGBTQ/Queer Cinema and Cultural Production | CINE 142,Lecture Section 01,9122,18,18,0.0,No,2021-06-29 19:22:15.113872
History of Documentary Film | CINE 202,Lecture Section 01,9021,45,45,0.0,No,2021-06-29 19:22:17.575667
Documentary and Policy: How Documentary Influences Policy | CINE 207S,SEM Section 01,6674,15,15,0.0,No,2021-06-29 19:22:20.065243
The Silent Film: An Introduction | CINE 208S,SEM Section 01,9093,12,12,0.0,No,2021-06-29 19:22:22.607400
Cinematic Authorship | CINE 216,Lecture Section 01,9220,15,15,0.0,No,2021-06-29 19:22:25.097748
"Sound, Music, and the Moving Image | CINE 230S",SEM Section 01,6872,18,18,0.0,No,2021-06-29 19:22:27.673751
Italian Cinema | CINE 254,Lecture Section 01,5707,18,18,0.0,No,2021-06-29 19:22:30.171101
World of Korean Cinema | CINE 256,Lecture Section 01,6575,14,14,0.0,No,2021-06-29 19:22:32.672228
Indian Cinema & Social Change | CINE 259,Lecture Section 01,7678,40,40,0.0,No,2021-06-29 19:22:35.177291
Religion and Film | CINE 273,Lecture Section 01,7611,45,45,0.0,No,2021-06-29 19:22:37.604734
Spies Like Us: Screening Cold War Espionage | CINE 274,Lecture Section 01,6387,35,35,0.0,No,2021-06-29 19:22:40.013717
Moving Image Practice | CINE 301S,SEM Section 01,8974,12,12,0.0,No,2021-06-29 19:22:42.418565
Moving Image Practice | CINE 301S,SEM Section 02,8975,12,12,0.0,No,2021-06-29 19:22:44.806124
Writing the Short Film | CINE 303S,SEM Section 01,9184,15,15,0.0,No,2021-06-29 19:22:47.229644
Ready for Prime Time: Writing the Dramatic TV Episode | CINE 304S,SEM Section 01,8901,16,16,0.0,No,2021-06-29 19:22:49.648402
Writing the Movie. Introduction to the Theory and Practice of Writing for the Screen | CINE 306S,SEM Section 01,9079,18,18,0.0,No,2021-06-29 19:22:51.964351
Acting For the Camera | CINE 310S,SEM Section 01,8889,16,16,0.0,No,2021-06-29 19:22:54.298397
Environmental Issues & the Documentary Arts | CINE 315S,SEM Section 01,7771,18,18,0.0,No,2021-06-29 19:22:56.629392
Film Animation Production | CINE 320S,SEM Section 01,8979,15,15,0.0,No,2021-06-29 19:22:58.944446
The Documentary Experience: A Video Approach | CINE 331S,SEM Section 01,6634,12,12,0.0,Yes,2021-06-29 19:23:01.352843
Sound for Film and Video | CINE 350S,SEM Section 01,8981,9,9,0.0,No,2021-06-29 19:23:03.737866
Cinematography | CINE 355S,SEM Section 01,9057,9,9,0.0,No,2021-06-29 19:23:06.062563
16mm Film Production | CINE 356S,SEM Section 01,9062,10,10,0.0,No,2021-06-29 19:23:08.435923
Editing for Film and Video | CINE 357S,SEM Section 01,9067,12,12,0.0,No,2021-06-29 19:23:10.823375
Graphic Design in Motion | CINE 381S,SEM Section 01,9174,12,12,0.0,No,2021-06-29 19:23:13.223765
Independent Study | CINE 391,IND Section 01,9209,3,3,0.0,No,2021-06-29 19:23:15.686003
Independent Study | CINE 391,IND Section 02,9210,3,3,0.0,No,2021-06-29 19:23:18.179257
Independent Study | CINE 391,IND Section 03,9211,3,3,0.0,No,2021-06-29 19:23:20.566338
Independent Study | CINE 391,IND Section 04,9212,3,3,0.0,No,2021-06-29 19:23:22.910028
Internship | CINE 395,IND Section 01,8985,3,3,0.0,No,2021-06-29 19:23:25.262342
Internship | CINE 395,IND Section 02,8986,3,3,0.0,No,2021-06-29 19:23:27.656990
Internship | CINE 395,IND Section 03,8987,3,3,0.0,No,2021-06-29 19:23:30.126485
Internship | CINE 395,IND Section 04,8988,3,3,0.0,No,2021-06-29 19:23:32.572336
Internship | CINE 395,IND Section 05,8989,3,3,0.0,No,2021-06-29 19:23:34.977497
Historical Documentary Production | CINE 429S,SEM Section 01,9146,15,15,0.0,No,2021-06-29 19:23:37.321264
Special Topics In Cinematic Arts | CINE 490S,SEM Section 01,5722,18,18,0.0,No,2021-06-29 19:23:39.678422
Independent Study | CINE 491,IND Section 01,9213,3,3,0.0,No,2021-06-29 19:23:42.018448
Independent Study | CINE 491,IND Section 02,9214,3,3,0.0,No,2021-06-29 19:23:44.342992
Independent Study | CINE 491,IND Section 03,9215,3,3,0.0,No,2021-06-29 19:23:46.672694
Independent Study | CINE 491,IND Section 04,9216,3,3,0.0,No,2021-06-29 19:23:49.119426
