Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary Russian II | RUSSIAN 102,Lecture Section 01,4402,12,16,25.0,2021-06-27 17:32:19.859832
Languages of the World | RUSSIAN 362,Lecture Section 01,4389,0,15,100.0,2021-06-27 18:29:58.554034
Languages of the World | RUSSIAN 362,Lecture Section 02,10291,1,15,93.33333333333333,2021-06-27 18:30:01.018136
Gender and Language | RUSSIAN 364,Lecture Section 01,4395,1,16,93.75,2021-06-27 18:30:03.536669
Global Russia | RUSSIAN 399,Lecture Section 01,11864,9,16,43.75,2021-06-27 18:30:06.014951
Global Russia | RUSSIAN 399,Lecture Section 02,11868,18,20,10.0,2021-06-27 18:30:08.427783
"Advanced Russian: Readings, Translation, and Syntax | RUSSIAN 402",Lecture Section 01,4409,3,8,62.5,2021-06-27 18:30:10.873750
Soviet Life through the Camera's Lens | RUSSIAN 433S,SEM Section 01,10305,10,16,37.5,2021-06-27 18:30:13.276446
Research Independent Study | RUSSIAN 494,IND Section 01,11787,0,1,100.0,2021-06-27 18:30:15.767645
Research Independent Study | RUSSIAN 494,IND Section 02,11788,0,1,100.0,2021-06-27 18:30:18.257516
Research Independent Study | RUSSIAN 494,IND Section 03,11789,1,1,0.0,2021-06-27 18:30:20.660735
