Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Concrete and Composite Structures | CEE 422L,Laboratory Section 01L,8347,1,6,83.33333333333334,2021-06-27 18:34:01.770674
Concrete and Composite Structures | CEE 422L,Laboratory Section 02L,8348,1,6,83.33333333333334,2021-06-27 18:34:04.259739
Concrete and Composite Structures | CEE 422L,Laboratory Section 03L,8349,6,6,0.0,2021-06-27 18:34:06.620269
Concrete and Composite Structures | CEE 422L,Laboratory Section 04L,8350,10,10,0.0,2021-06-27 18:34:09.256694
Integrated Structural Design | CEE 429,Lecture Section 01,8351,12,20,40.0,2021-06-27 18:34:11.709306
Applied Biological Principles and Processes in Environmental Engineering | CEE 462L,Lecture Section 001,8352,22,30,26.666666666666668,2021-06-27 18:34:14.048002
Applied Biological Principles and Processes in Environmental Engineering | CEE 462L,Laboratory Section 01L,8353,5,10,50.0,2021-06-27 18:34:16.387717
Applied Biological Principles and Processes in Environmental Engineering | CEE 462L,Laboratory Section 02L,8354,7,10,30.0,2021-06-27 18:34:18.741321
Integrated Environmental Design | CEE 469,Lecture Section 01,8355,3,10,70.0,2021-06-27 18:34:21.090461
Integrated Environmental Design | CEE 469,Lecture Section 02,8356,8,10,20.0,2021-06-27 18:34:23.570605
Independent Study in Civil and Environmental Engineering | CEE 492,IND Section 01,8357,1,1,0.0,2021-06-27 18:34:25.986627
Independent Study in Civil and Environmental Engineering | CEE 492,IND Section 02,8358,1,1,0.0,2021-06-27 18:34:28.337388
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 01,8359,0,1,100.0,2021-06-27 18:34:30.717268
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 02,8360,0,1,100.0,2021-06-27 18:34:33.053572
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 03,8361,1,3,66.66666666666666,2021-06-27 18:34:35.376004
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 04,8362,0,1,100.0,2021-06-27 18:34:37.737455
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 05,8363,0,1,100.0,2021-06-27 18:34:40.131314
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 06,8364,1,1,0.0,2021-06-27 18:34:42.637017
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 07,8365,1,1,0.0,2021-06-27 18:34:45.013923
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 08,8366,1,1,0.0,2021-06-27 18:34:47.464257
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 09,8367,1,1,0.0,2021-06-27 18:34:49.854624
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 10,8368,1,1,0.0,2021-06-27 18:34:52.286029
