Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Engineering Design and Communication | EGR 101L,Lecture Section 001,10148,2,24,91.66666666666666,2021-06-27 17:21:16.776110
Projects in Engineering | EGR 391,IND Section 02,10186,3,3,0.0,2021-06-27 18:17:40.459356
Projects in Engineering | EGR 391,IND Section 03,10187,3,3,0.0,2021-06-27 18:17:42.800127
Research Projects in Engineering | EGR 393,IND Section 01,10188,0,1,100.0,2021-06-27 18:17:45.222546
Research Projects in Engineering | EGR 393,IND Section 02,10189,0,1,100.0,2021-06-27 18:17:47.618369
Research Projects in Engineering | EGR 393,IND Section 03,10190,0,1,100.0,2021-06-27 18:17:50.061631
Research Projects in Engineering | EGR 393,IND Section 04,10191,0,1,100.0,2021-06-27 18:17:52.555909
Research Projects in Engineering | EGR 393,IND Section 05,10192,0,1,100.0,2021-06-27 18:17:55.019985
Research Projects in Engineering | EGR 393,IND Section 06,10193,0,1,100.0,2021-06-27 18:17:57.575262
Research Projects in Engineering | EGR 393,IND Section 07,11971,0,1,100.0,2021-06-27 18:18:00.195628
Research Projects in Engineering | EGR 393,IND Section 08,11973,0,1,100.0,2021-06-27 18:18:02.895823
Research Projects in Engineering | EGR 393,IND Section 09,11974,0,1,100.0,2021-06-27 18:18:05.625706
Research Projects in Engineering | EGR 393,IND Section 10,11975,1,1,0.0,2021-06-27 18:18:08.198232
Energy and Environment Design | EGR 424L,Lecture Section 001,10194,8,10,20.0,2021-06-27 18:18:10.884954
Energy and Environment Design | EGR 424L,Laboratory Section 01L,10195,8,10,20.0,2021-06-27 18:18:13.650490
Projects in Engineering | EGR 491,IND Section 01,11979,0,1,100.0,2021-06-27 18:18:16.199545
