Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Biological Bases of Behavior: Introduction and Survey | NEUROSCI 101,Lecture Section 001,4539,19,125,84.8,2021-06-27 17:32:54.893941
Cellular and Molecular Neurobiology | NEUROSCI 223,Lecture Section 001,3802,7,75,90.66666666666666,2021-06-27 17:33:57.492800
Cellular and Molecular Neurobiology | NEUROSCI 223,Lecture Section 002,10792,-1,8,112.5,2021-06-27 17:33:59.914130
Cellular and Molecular Neurobiology | NEUROSCI 223,Discussion Section 01D,3803,1,18,94.44444444444444,2021-06-27 17:34:02.244679
Cellular and Molecular Neurobiology | NEUROSCI 223,Discussion Section 02D,3804,0,20,100.0,2021-06-27 17:34:04.776092
Cellular and Molecular Neurobiology | NEUROSCI 223,Discussion Section 03D,3805,0,18,100.0,2021-06-27 17:34:07.107073
Cellular and Molecular Neurobiology | NEUROSCI 223,Discussion Section 04D,3806,2,19,89.47368421052632,2021-06-27 17:34:09.439762
Human Cognitive Evolution | NEUROSCI 260,Lecture Section 01,5506,9,130,93.07692307692308,2021-06-27 17:34:11.789687
Mechanisms of Animal Behavior | NEUROSCI 268,Lecture Section 01,9295,0,11,100.0,2021-06-27 17:34:14.137588
Mechanisms of Animal Behavior | NEUROSCI 268,Lecture Section 02,9296,0,4,100.0,2021-06-27 17:34:16.473440
Neuroscience of Movement and Athletic Performance | NEUROSCI 282,Lecture Section 01,4550,0,21,100.0,2021-06-27 17:34:18.863083
Neuroscience of Movement and Athletic Performance | NEUROSCI 282,Lecture Section 02,4551,0,4,100.0,2021-06-27 17:34:21.191661
Bioelectricity (AC or GE) | NEUROSCI 301L,Lecture Section 001,8722,24,34,29.411764705882355,2021-06-27 17:34:23.548811
Bioelectricity (AC or GE) | NEUROSCI 301L,Laboratory Section 01L,8723,7,10,30.0,2021-06-27 17:34:25.923542
Bioelectricity (AC or GE) | NEUROSCI 301L,Laboratory Section 02L,8724,3,10,70.0,2021-06-27 17:34:28.269192
Educational Neuroscience | NEUROSCI 340S,SEM Section 01,4554,6,17,64.70588235294117,2021-06-27 17:34:30.619364
Educational Neuroscience | NEUROSCI 340S,SEM Section 02,4555,1,1,0.0,2021-06-27 17:34:32.971846
"Neuroplasticity and Disease: Molecules, Cells, and Circuits | NEUROSCI 353S",SEM Section 01,3807,1,18,94.44444444444444,2021-06-27 17:34:35.319363
Visual Perception and the Brain | NEUROSCI 355S,SEM Section 01,3808,2,18,88.88888888888889,2021-06-27 17:34:37.651412
"Drugs, Brain, and Behavior | NEUROSCI 360",Lecture Section 01,6503,0,50,100.0,2021-06-27 17:34:39.995528
Behavioral Neuroendocrinology | NEUROSCI 366S,SEM Section 01,4556,0,18,100.0,2021-06-27 17:34:42.334711
Contemporary Neuroscience Methods | NEUROSCI 376,Lecture Section 01,3809,1,60,98.33333333333333,2021-06-27 17:34:44.672835
