Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Advanced Spanish Writing | SPANISH 301,Lecture Section 02,5683,12,12,0.0,Yes,2021-07-01 11:25:22.927706
Advanced Spanish Writing | SPANISH 301,Lecture Section 03,5684,12,12,0.0,Yes,2021-07-01 11:25:25.301148
Advanced Spanish Writing | SPANISH 301,Lecture Section 04,5685,12,12,0.0,Yes,2021-07-01 11:25:27.750800
Advanced Spanish Writing | SPANISH 301,Lecture Section 05,5686,12,12,0.0,Yes,2021-07-01 11:25:30.123990
Advanced Spanish Grammar | SPANISH 302,Lecture Section 01,5694,15,15,0.0,No,2021-07-01 11:25:32.466758
Introduction to Cultural Studies | SPANISH 303,Lecture Section 01,5696,15,15,0.0,Yes,2021-07-01 11:25:34.830584
Introduction to Cultural Studies | SPANISH 303,Lecture Section 02,5697,15,15,0.0,Yes,2021-07-01 11:25:37.134931
Introduction to Cultural Studies | SPANISH 303,Lecture Section 03,5698,15,15,0.0,Yes,2021-07-01 11:25:39.449660
Introduction to Cultural Studies | SPANISH 303,Lecture Section 04,5699,15,15,0.0,Yes,2021-07-01 11:25:41.746009
"Health, Culture, and the Latino Community | SPANISH 306",Lecture Section 01,5701,15,15,0.0,No,2021-07-01 11:25:44.061730
"Health, Culture, and the Latino Community: Service Learning | SPANISH 306-1",Lecture Section 01,5760,15,15,0.0,No,2021-07-01 11:25:46.406127
"Latinx Voices in Duke, Durham, and Beyond | SPANISH 308S",SEM Section 01,5710,12,12,0.0,No,2021-07-01 11:25:48.747073
Spanish in the U.S. | SPANISH 309S,SEM Section 01,5736,15,15,0.0,No,2021-07-01 11:25:51.086211
Bridging Cultures: Latino Lives and Experiences in NC | SPANISH 313,Lecture Section 01,5732,12,12,0.0,No,2021-07-01 11:25:53.519630
Global Humanities in Spanish | SPANISH 316S,SEM Section 01,5748,15,15,0.0,No,2021-07-01 11:25:55.834423
Spanish Studies Seminar | SPANISH 327S,SEM Section 01,5688,18,18,0.0,No,2021-07-01 11:25:58.148203
"Introduction to Literature, Film, and Popular Culture | SPANISH 331S",SEM Section 01,5687,15,15,0.0,No,2021-07-01 11:26:00.475541
Introduction to Spanish-American Literature | SPANISH 334,Lecture Section 01,5689,18,18,0.0,No,2021-07-01 11:26:02.793447
Introduction to US Latino/a Literature | SPANISH 336,Lecture Section 01,5741,18,18,0.0,No,2021-07-01 11:26:05.099091
Research Independent Study | SPANISH 393,IND Section 01,2152,1,1,0.0,No,2021-07-01 11:26:07.414594
Research Independent Study | SPANISH 393,IND Section 02,2153,1,1,0.0,No,2021-07-01 11:26:09.727563
Research Independent Study | SPANISH 393,IND Section 03,2154,1,1,0.0,No,2021-07-01 11:26:12.113177
Research Independent Study | SPANISH 393,IND Section 04,2155,1,1,0.0,No,2021-07-01 11:26:14.447204
Suspicious Truths and Alternative Realities: Spanish Literature of the Renaissance and the Baroque | SPANISH 410,Lecture Section 01,5691,15,15,0.0,No,2021-07-01 11:26:16.753702
Research Independent Study | SPANISH 493,IND Section 01,2156,1,1,0.0,No,2021-07-01 11:26:19.069551
Research Independent Study | SPANISH 493,IND Section 02,2157,1,1,0.0,No,2021-07-01 11:26:21.369838
Research Independent Study | SPANISH 493,IND Section 03,2158,1,1,0.0,No,2021-07-01 11:26:23.709818
Research Independent Study | SPANISH 493,IND Section 04,2159,1,1,0.0,No,2021-07-01 11:26:26.028355
Research Independent Study | SPANISH 493,IND Section 05,2160,1,1,0.0,No,2021-07-01 11:26:28.354296
Research Independent Study | SPANISH 493,IND Section 06,2161,1,1,0.0,No,2021-07-01 11:26:30.676732
Honors Thesis | SPANISH 496,IND Section 01,2162,1,1,0.0,No,2021-07-01 11:26:32.971254
Honors Thesis | SPANISH 496,IND Section 02,2163,1,1,0.0,No,2021-07-01 11:26:35.265955
Elementary Spanish 1 | SPANISH 101,Lecture Section 01,5652,15,15,0.0,No,2021-07-01 17:47:37.510985
Elementary Spanish 1 | SPANISH 101,Lecture Section 02,5653,15,15,0.0,No,2021-07-01 17:47:39.861862
Elementary Spanish 1 | SPANISH 101,Lecture Section 03,5654,15,15,0.0,No,2021-07-01 17:47:42.280046
Elementary Spanish 1 | SPANISH 101,Lecture Section 04,5655,15,15,0.0,No,2021-07-01 17:47:44.666166
Elementary Spanish 2 | SPANISH 102,Lecture Section 01,5656,15,15,0.0,No,2021-07-01 17:47:47.036854
Elementary Spanish 2 | SPANISH 102,Lecture Section 02,5657,15,15,0.0,No,2021-07-01 17:47:49.406930
Elementary Spanish 2 | SPANISH 102,Lecture Section 03,5658,15,15,0.0,No,2021-07-01 17:47:51.801936
Elementary Spanish 2 | SPANISH 102,Lecture Section 04,5659,15,15,0.0,No,2021-07-01 17:47:54.208588
Elementary Spanish 2 | SPANISH 102,Lecture Section 05,5660,15,15,0.0,No,2021-07-01 17:47:56.635373
Elementary Spanish 2 | SPANISH 102,Lecture Section 06,5661,15,15,0.0,No,2021-07-01 17:47:58.981797
Accelerated Elementary Spanish | SPANISH 112,Lecture Section 01,5764,15,15,0.0,No,2021-07-01 17:48:01.286310
Intermediate Spanish | SPANISH 203,Lecture Section 01,5662,15,15,0.0,No,2021-07-01 17:48:03.621888
Intermediate Spanish | SPANISH 203,Lecture Section 02,5663,15,15,0.0,No,2021-07-01 17:48:05.958975
Intermediate Spanish | SPANISH 203,Lecture Section 03,5664,15,15,0.0,No,2021-07-01 17:48:08.298930
Intermediate Spanish | SPANISH 203,Lecture Section 04,5665,15,15,0.0,No,2021-07-01 17:48:10.696667
Intermediate Spanish | SPANISH 203,Lecture Section 05,5666,15,15,0.0,No,2021-07-01 17:48:13.086374
Intermediate Spanish | SPANISH 203,Lecture Section 06,5667,15,15,0.0,No,2021-07-01 17:48:15.422124
