Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Research Independent Study | CELLBIO 493,IND Section 01,4266,1,1,0.0,No,2021-07-01 17:40:52.030509
Research Independent Study | CELLBIO 493,IND Section 28,4293,1,1,0.0,No,2021-07-01 17:41:56.984422
Research Independent Study | CELLBIO 493,IND Section 29,4294,1,1,0.0,No,2021-07-01 17:41:59.315966
Research Independent Study | CELLBIO 493,IND Section 30,4295,1,1,0.0,No,2021-07-01 17:42:01.664283
Research Independent Study | CELLBIO 493,IND Section 31,4296,1,1,0.0,No,2021-07-01 17:42:03.997556
Research Independent Study | CELLBIO 493,IND Section 32,4297,1,1,0.0,No,2021-07-01 17:42:06.341101
Research Independent Study | CELLBIO 493,IND Section 33,4298,1,1,0.0,No,2021-07-01 17:42:08.735448
Research Independent Study | CELLBIO 493,IND Section 34,4299,1,1,0.0,No,2021-07-01 17:42:11.057221
Research Independent Study | CELLBIO 493,IND Section 35,4300,1,1,0.0,No,2021-07-01 17:42:13.377300
Research Independent Study | CELLBIO 493,IND Section 36,4301,1,1,0.0,No,2021-07-01 17:42:15.707121
Research Independent Study | CELLBIO 493,IND Section 37,4302,1,1,0.0,No,2021-07-01 17:42:18.040238
Research Independent Study | CELLBIO 493,IND Section 38,4303,1,1,0.0,No,2021-07-01 17:42:20.409742
Research Independent Study | CELLBIO 493,IND Section 39,4304,1,1,0.0,No,2021-07-01 17:42:22.779995
Research Independent Study | CELLBIO 493,IND Section 40,4305,1,1,0.0,No,2021-07-01 17:42:25.156434
Research Independent Study | CELLBIO 493,IND Section 41,4306,1,1,0.0,No,2021-07-01 17:42:27.557436
Research Independent Study | CELLBIO 493,IND Section 42,4307,1,1,0.0,No,2021-07-01 17:42:30.030285
Research Independent Study | CELLBIO 493,IND Section 43,4308,1,1,0.0,No,2021-07-01 17:42:32.467053
Research Independent Study | CELLBIO 493,IND Section 44,4309,1,1,0.0,No,2021-07-01 17:42:34.808967
Research Independent Study | CELLBIO 493,IND Section 45,4310,1,1,0.0,No,2021-07-01 17:42:37.152631
Research Independent Study | CELLBIO 493,IND Section 46,4311,1,1,0.0,No,2021-07-01 17:42:39.484789
Research Independent Study | CELLBIO 493,IND Section 47,4312,1,1,0.0,No,2021-07-01 17:42:41.969540
Research Independent Study | CELLBIO 493,IND Section 48,4313,1,1,0.0,No,2021-07-01 17:42:44.445099
Research Independent Study | CELLBIO 493,IND Section 49,4314,1,1,0.0,No,2021-07-01 17:42:46.946230
Research Independent Study | CELLBIO 493,IND Section 50,4315,1,1,0.0,No,2021-07-01 17:42:49.369370
Research Independent Study | CELLBIO 493,IND Section 51,4316,1,1,0.0,No,2021-07-01 17:42:51.707560
Research Independent Study | CELLBIO 493,IND Section 52,4317,1,1,0.0,No,2021-07-01 17:42:54.030356
Research Independent Study | CELLBIO 493,IND Section 53,4318,1,1,0.0,No,2021-07-01 17:42:56.442071
Research Independent Study | CELLBIO 493,IND Section 54,4319,1,1,0.0,No,2021-07-01 17:42:58.757841
Research Independent Study | CELLBIO 493,IND Section 55,4320,1,1,0.0,No,2021-07-01 17:43:01.086968
Research Independent Study | CELLBIO 493,IND Section 56,4321,1,1,0.0,No,2021-07-01 17:43:03.396585
Research Independent Study | CELLBIO 493,IND Section 57,4322,1,1,0.0,No,2021-07-01 17:43:05.753339
Research Independent Study | CELLBIO 493,IND Section 58,4323,1,1,0.0,No,2021-07-01 17:43:08.074979
Research Independent Study | CELLBIO 493,IND Section 59,4324,1,1,0.0,No,2021-07-01 17:43:10.394166
Research Independent Study | CELLBIO 493,IND Section 60,4325,1,1,0.0,No,2021-07-01 17:43:12.791507
