Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
IND Section 08,1516,18,18,No,0.0,2021-07-10 11:56:16.984398
IND Section 09,1517,18,18,No,0.0,2021-07-10 11:56:16.984405
IND Section 10,1518,18,18,No,0.0,2021-07-10 11:56:16.984412
IND Section 11,1519,18,18,No,0.0,2021-07-10 11:56:16.984419
IND Section 12,1520,18,18,No,0.0,2021-07-10 11:56:16.984426
IND Section 13,5322,18,18,No,0.0,2021-07-10 11:56:16.984433
IND Section 01,1522,18,18,No,0.0,2021-07-10 11:56:16.984441
IND Section 02,1526,18,18,No,0.0,2021-07-10 11:56:16.984448
IND Section 03,1527,18,18,No,0.0,2021-07-10 11:56:16.984455
IND Section 04,1528,18,18,No,0.0,2021-07-10 11:56:16.984462
IND Section 05,1529,18,18,No,0.0,2021-07-10 11:56:16.984469
IND Section 06,1530,18,18,No,0.0,2021-07-10 11:56:16.984477
IND Section 07,5325,18,18,No,0.0,2021-07-10 11:56:16.984484
IND Section 08,1531,18,18,No,0.0,2021-07-10 11:56:16.984491
IND Section 09,1532,18,18,No,0.0,2021-07-10 11:56:16.984498
IND Section 10,1533,18,18,No,0.0,2021-07-10 11:56:16.984505
IND Section 11,1534,18,18,No,0.0,2021-07-10 11:56:16.984512
IND Section 12,1535,18,18,No,0.0,2021-07-10 11:56:16.984519
IND Section 13,5324,18,18,No,0.0,2021-07-10 11:56:16.984527
TUT Section 01,5338,18,18,No,0.0,2021-07-10 11:56:16.984534
TUT Section 02,5337,18,18,No,0.0,2021-07-10 11:56:16.984541
TUT Section 03,5343,18,18,No,0.0,2021-07-10 11:56:16.984548
TUT Section 04,5344,18,18,No,0.0,2021-07-10 11:56:16.984555
TUT Section 05,5345,18,18,No,0.0,2021-07-10 11:56:16.984562
TUT Section 06,5348,18,18,No,0.0,2021-07-10 11:56:16.984569
TUT Section 07,5347,18,18,No,0.0,2021-07-10 11:56:16.984576
TUT Section 08,5339,18,18,No,0.0,2021-07-10 11:56:16.984583
TUT Section 09,5340,18,18,No,0.0,2021-07-10 11:56:16.984590
TUT Section 10,5341,18,18,No,0.0,2021-07-10 11:56:16.984597
TUT Section 11,5342,18,18,No,0.0,2021-07-10 11:56:16.984604
TUT Section 12,5346,18,18,No,0.0,2021-07-10 11:56:16.984611
IND Section 01,1537,18,18,No,0.0,2021-07-10 11:56:16.984618
IND Section 02,1541,18,18,No,0.0,2021-07-10 11:56:16.984625
IND Section 03,1542,18,18,No,0.0,2021-07-10 11:56:16.984632
IND Section 04,1543,18,18,No,0.0,2021-07-10 11:56:16.984639
IND Section 05,1544,18,18,No,0.0,2021-07-10 11:56:16.984646
IND Section 06,1545,18,18,No,0.0,2021-07-10 11:56:16.984653
IND Section 07,5327,18,18,No,0.0,2021-07-10 11:56:16.984660
IND Section 08,5326,18,18,No,0.0,2021-07-10 11:56:16.984667
IND Section 09,1546,18,18,No,0.0,2021-07-10 11:56:16.984674
IND Section 01,1548,18,18,No,0.0,2021-07-10 11:56:16.984681
IND Section 02,1552,18,18,No,0.0,2021-07-10 11:56:16.984688
IND Section 03,1553,18,18,No,0.0,2021-07-10 11:56:16.984695
IND Section 04,1554,18,18,No,0.0,2021-07-10 11:56:16.984702
IND Section 05,1555,18,18,No,0.0,2021-07-10 11:56:16.984709
IND Section 06,1556,18,18,No,0.0,2021-07-10 11:56:16.984716
IND Section 07,5329,18,18,No,0.0,2021-07-10 11:56:16.984724
IND Section 08,5328,18,18,No,0.0,2021-07-10 11:56:16.984731
IND Section 09,1557,18,18,No,0.0,2021-07-10 11:56:16.984744
IND Section 01,1559,18,18,No,0.0,2021-07-10 11:56:16.984751
IND Section 02,1563,18,18,No,0.0,2021-07-10 11:56:16.984758
IND Section 03,1564,18,18,No,0.0,2021-07-10 11:56:16.984765
IND Section 04,1565,18,18,No,0.0,2021-07-10 11:56:16.984772
IND Section 05,1566,18,18,No,0.0,2021-07-10 11:56:16.984779
IND Section 06,1567,18,18,No,0.0,2021-07-10 11:56:16.984786
IND Section 07,5331,18,18,No,0.0,2021-07-10 11:56:16.984796
IND Section 08,5330,18,18,No,0.0,2021-07-10 11:56:16.984803
IND Section 09,1568,18,18,No,0.0,2021-07-10 11:56:16.984810
IND Section 01,1570,18,18,No,0.0,2021-07-10 11:56:16.984817
IND Section 02,1574,18,18,No,0.0,2021-07-10 11:56:16.984824
IND Section 03,1575,18,18,No,0.0,2021-07-10 11:56:16.984831
IND Section 04,1576,18,18,No,0.0,2021-07-10 11:56:16.984841
IND Section 05,1577,18,18,No,0.0,2021-07-10 11:56:16.984847
IND Section 06,1578,18,18,No,0.0,2021-07-10 11:56:16.984854
IND Section 07,5333,18,18,No,0.0,2021-07-10 11:56:16.984861
IND Section 08,5332,18,18,No,0.0,2021-07-10 11:56:16.984868
IND Section 09,1579,18,18,No,0.0,2021-07-10 11:56:16.984875
