Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
IND Section 28,4293,1,1,No,0.0,2021-07-10 11:41:10.373928
IND Section 29,4294,1,1,No,0.0,2021-07-10 11:41:10.373935
IND Section 30,4295,1,1,No,0.0,2021-07-10 11:41:10.373942
IND Section 31,4296,1,1,No,0.0,2021-07-10 11:41:10.373949
IND Section 32,4297,1,1,No,0.0,2021-07-10 11:41:10.373961
IND Section 33,4298,1,1,No,0.0,2021-07-10 11:41:10.373969
IND Section 34,4299,1,1,No,0.0,2021-07-10 11:41:10.373977
IND Section 35,4300,1,1,No,0.0,2021-07-10 11:41:10.373984
IND Section 36,4301,1,1,No,0.0,2021-07-10 11:41:10.373991
IND Section 37,4302,1,1,No,0.0,2021-07-10 11:41:10.373999
IND Section 38,4303,1,1,No,0.0,2021-07-10 11:41:10.374006
IND Section 39,4304,1,1,No,0.0,2021-07-10 11:41:10.374013
IND Section 40,4305,1,1,No,0.0,2021-07-10 11:41:10.374021
IND Section 41,4306,1,1,No,0.0,2021-07-10 11:41:10.374029
IND Section 42,4307,1,1,No,0.0,2021-07-10 11:41:10.374037
IND Section 43,4308,1,1,No,0.0,2021-07-10 11:41:10.374047
IND Section 44,4309,1,1,No,0.0,2021-07-10 11:41:10.374059
IND Section 45,4310,1,1,No,0.0,2021-07-10 11:41:10.374071
IND Section 46,4311,1,1,No,0.0,2021-07-10 11:41:10.374079
IND Section 47,4312,1,1,No,0.0,2021-07-10 11:41:10.374087
IND Section 48,4313,1,1,No,0.0,2021-07-10 11:41:10.374095
IND Section 49,4314,1,1,No,0.0,2021-07-10 11:41:10.374103
IND Section 50,4315,1,1,No,0.0,2021-07-10 11:41:10.374111
IND Section 51,4316,1,1,No,0.0,2021-07-10 11:41:10.374118
IND Section 52,4317,1,1,No,0.0,2021-07-10 11:41:10.374126
IND Section 53,4318,1,1,No,0.0,2021-07-10 11:41:10.374133
IND Section 54,4319,1,1,No,0.0,2021-07-10 11:41:10.374141
IND Section 55,4320,1,1,No,0.0,2021-07-10 11:41:10.374149
IND Section 56,4321,1,1,No,0.0,2021-07-10 11:41:10.374160
IND Section 57,4322,1,1,No,0.0,2021-07-10 11:41:10.374171
IND Section 58,4323,1,1,No,0.0,2021-07-10 11:41:10.374183
IND Section 59,4324,1,1,No,0.0,2021-07-10 11:41:10.374194
IND Section 60,4325,1,1,No,0.0,2021-07-10 11:41:10.374223
IND Section 01,4266,1,1,No,0.0,2021-07-10 11:49:02.333565
IND Section 02,4267,1,1,No,0.0,2021-07-10 11:49:02.333586
IND Section 03,4268,1,1,No,0.0,2021-07-10 11:49:02.333595
IND Section 04,4269,1,1,No,0.0,2021-07-10 11:49:02.333603
IND Section 05,4270,1,1,No,0.0,2021-07-10 11:49:02.333610
IND Section 06,4271,1,1,No,0.0,2021-07-10 11:49:02.333618
IND Section 07,4272,1,1,No,0.0,2021-07-10 11:49:02.333626
IND Section 08,4273,1,1,No,0.0,2021-07-10 11:49:02.333634
IND Section 09,4274,1,1,No,0.0,2021-07-10 11:49:02.333641
IND Section 10,4275,1,1,No,0.0,2021-07-10 11:49:02.333649
IND Section 11,4276,1,1,No,0.0,2021-07-10 11:49:02.333656
IND Section 12,4277,1,1,No,0.0,2021-07-10 11:49:02.333664
IND Section 13,4278,1,1,No,0.0,2021-07-10 11:49:02.333671
IND Section 14,4279,1,1,No,0.0,2021-07-10 11:49:02.333679
IND Section 15,4280,1,1,No,0.0,2021-07-10 11:49:02.333686
IND Section 16,4281,1,1,No,0.0,2021-07-10 11:49:02.333694
IND Section 17,4282,1,1,No,0.0,2021-07-10 11:49:02.333701
IND Section 18,4283,1,1,No,0.0,2021-07-10 11:49:02.333708
IND Section 19,4284,1,1,No,0.0,2021-07-10 11:49:02.333716
IND Section 20,4285,1,1,No,0.0,2021-07-10 11:49:02.333724
IND Section 21,4286,1,1,No,0.0,2021-07-10 11:49:02.333731
IND Section 22,4287,1,1,No,0.0,2021-07-10 11:49:02.333738
IND Section 23,4288,1,1,No,0.0,2021-07-10 11:49:02.333745
IND Section 24,4289,1,1,No,0.0,2021-07-10 11:49:02.333752
IND Section 25,4290,1,1,No,0.0,2021-07-10 11:49:02.333760
IND Section 26,4291,1,1,No,0.0,2021-07-10 11:49:02.333767
IND Section 27,4292,1,1,No,0.0,2021-07-10 11:49:02.333774
IND Section 28,4293,1,1,No,0.0,2021-07-10 11:49:02.333781
IND Section 29,4294,1,1,No,0.0,2021-07-10 11:49:02.333789
IND Section 30,4295,1,1,No,0.0,2021-07-10 11:49:02.333796
IND Section 31,4296,1,1,No,0.0,2021-07-10 11:49:02.333803
IND Section 32,4297,1,1,No,0.0,2021-07-10 11:49:02.333811
IND Section 33,4298,1,1,No,0.0,2021-07-10 11:49:02.333817
IND Section 34,4299,1,1,No,0.0,2021-07-10 11:49:02.333825
IND Section 35,4300,1,1,No,0.0,2021-07-10 11:49:02.333833
IND Section 36,4301,1,1,No,0.0,2021-07-10 11:49:02.333840
IND Section 37,4302,1,1,No,0.0,2021-07-10 11:49:02.333848
IND Section 38,4303,1,1,No,0.0,2021-07-10 11:49:02.333855
IND Section 39,4304,1,1,No,0.0,2021-07-10 11:49:02.333862
IND Section 40,4305,1,1,No,0.0,2021-07-10 11:49:02.333869
IND Section 41,4306,1,1,No,0.0,2021-07-10 11:49:02.333877
IND Section 42,4307,1,1,No,0.0,2021-07-10 11:49:02.333885
IND Section 43,4308,1,1,No,0.0,2021-07-10 11:49:02.333892
IND Section 44,4309,1,1,No,0.0,2021-07-10 11:49:02.333900
IND Section 45,4310,1,1,No,0.0,2021-07-10 11:49:02.333908
IND Section 46,4311,1,1,No,0.0,2021-07-10 11:49:02.333915
IND Section 47,4312,1,1,No,0.0,2021-07-10 11:49:02.333923
IND Section 48,4313,1,1,No,0.0,2021-07-10 11:49:02.333930
IND Section 49,4314,1,1,No,0.0,2021-07-10 11:49:02.333937
IND Section 50,4315,1,1,No,0.0,2021-07-10 11:49:02.333944
IND Section 51,4316,1,1,No,0.0,2021-07-10 11:49:02.333952
IND Section 52,4317,1,1,No,0.0,2021-07-10 11:49:02.333959
IND Section 53,4318,1,1,No,0.0,2021-07-10 11:49:02.333967
IND Section 54,4319,1,1,No,0.0,2021-07-10 11:49:02.333974
IND Section 55,4320,1,1,No,0.0,2021-07-10 11:49:02.333980
IND Section 56,4321,1,1,No,0.0,2021-07-10 11:49:02.333987
IND Section 57,4322,1,1,No,0.0,2021-07-10 11:49:02.333995
IND Section 58,4323,1,1,No,0.0,2021-07-10 11:49:02.334002
IND Section 59,4324,1,1,No,0.0,2021-07-10 11:49:02.334010
IND Section 60,4325,1,1,No,0.0,2021-07-10 11:49:02.334017
IND Section 01,4266,1,1,No,0.0,2021-07-10 11:57:22.032418
IND Section 02,4267,1,1,No,0.0,2021-07-10 11:57:22.032440
IND Section 03,4268,1,1,No,0.0,2021-07-10 11:57:22.032449
IND Section 04,4269,1,1,No,0.0,2021-07-10 11:57:22.032456
IND Section 05,4270,1,1,No,0.0,2021-07-10 11:57:22.032465
IND Section 06,4271,1,1,No,0.0,2021-07-10 11:57:22.032476
IND Section 07,4272,1,1,No,0.0,2021-07-10 11:57:22.032483
IND Section 08,4273,1,1,No,0.0,2021-07-10 11:57:22.032491
IND Section 09,4274,1,1,No,0.0,2021-07-10 11:57:22.032499
IND Section 10,4275,1,1,No,0.0,2021-07-10 11:57:22.032506
IND Section 11,4276,1,1,No,0.0,2021-07-10 11:57:22.032515
IND Section 12,4277,1,1,No,0.0,2021-07-10 11:57:22.032523
IND Section 13,4278,1,1,No,0.0,2021-07-10 11:57:22.032530
IND Section 14,4279,1,1,No,0.0,2021-07-10 11:57:22.032537
IND Section 15,4280,1,1,No,0.0,2021-07-10 11:57:22.032545
IND Section 16,4281,1,1,No,0.0,2021-07-10 11:57:22.032553
IND Section 17,4282,1,1,No,0.0,2021-07-10 11:57:22.032560
IND Section 18,4283,1,1,No,0.0,2021-07-10 11:57:22.032567
IND Section 19,4284,1,1,No,0.0,2021-07-10 11:57:22.032576
IND Section 20,4285,1,1,No,0.0,2021-07-10 11:57:22.032584
IND Section 21,4286,1,1,No,0.0,2021-07-10 11:57:22.032592
IND Section 22,4287,1,1,No,0.0,2021-07-10 11:57:22.032600
IND Section 23,4288,1,1,No,0.0,2021-07-10 11:57:22.032608
IND Section 24,4289,1,1,No,0.0,2021-07-10 11:57:22.032615
IND Section 25,4290,1,1,No,0.0,2021-07-10 11:57:22.032623
IND Section 26,4291,1,1,No,0.0,2021-07-10 11:57:22.032631
IND Section 27,4292,1,1,No,0.0,2021-07-10 11:57:22.032638
IND Section 28,4293,1,1,No,0.0,2021-07-10 11:57:22.032646
IND Section 29,4294,1,1,No,0.0,2021-07-10 11:57:22.032654
IND Section 30,4295,1,1,No,0.0,2021-07-10 11:57:22.032661
IND Section 31,4296,1,1,No,0.0,2021-07-10 11:57:22.032669
IND Section 32,4297,1,1,No,0.0,2021-07-10 11:57:22.032677
IND Section 33,4298,1,1,No,0.0,2021-07-10 11:57:22.032684
IND Section 34,4299,1,1,No,0.0,2021-07-10 11:57:22.032692
IND Section 35,4300,1,1,No,0.0,2021-07-10 11:57:22.032700
IND Section 36,4301,1,1,No,0.0,2021-07-10 11:57:22.032708
IND Section 37,4302,1,1,No,0.0,2021-07-10 11:57:22.032715
IND Section 38,4303,1,1,No,0.0,2021-07-10 11:57:22.032723
IND Section 39,4304,1,1,No,0.0,2021-07-10 11:57:22.032731
IND Section 40,4305,1,1,No,0.0,2021-07-10 11:57:22.032738
IND Section 41,4306,1,1,No,0.0,2021-07-10 11:57:22.032746
IND Section 42,4307,1,1,No,0.0,2021-07-10 11:57:22.032753
IND Section 43,4308,1,1,No,0.0,2021-07-10 11:57:22.032761
IND Section 44,4309,1,1,No,0.0,2021-07-10 11:57:22.032769
IND Section 45,4310,1,1,No,0.0,2021-07-10 11:57:22.032777
IND Section 46,4311,1,1,No,0.0,2021-07-10 11:57:22.032784
IND Section 47,4312,1,1,No,0.0,2021-07-10 11:57:22.032791
IND Section 48,4313,1,1,No,0.0,2021-07-10 11:57:22.032798
IND Section 49,4314,1,1,No,0.0,2021-07-10 11:57:22.032806
IND Section 50,4315,1,1,No,0.0,2021-07-10 11:57:22.032813
IND Section 51,4316,1,1,No,0.0,2021-07-10 11:57:22.032820
IND Section 52,4317,1,1,No,0.0,2021-07-10 11:57:22.032827
IND Section 53,4318,1,1,No,0.0,2021-07-10 11:57:22.032834
IND Section 54,4319,1,1,No,0.0,2021-07-10 11:57:22.032841
IND Section 55,4320,1,1,No,0.0,2021-07-10 11:57:22.032847
IND Section 56,4321,1,1,No,0.0,2021-07-10 11:57:22.032854
IND Section 57,4322,1,1,No,0.0,2021-07-10 11:57:22.032861
IND Section 58,4323,1,1,No,0.0,2021-07-10 11:57:22.032868
IND Section 59,4324,1,1,No,0.0,2021-07-10 11:57:22.032876
IND Section 60,4325,1,1,No,0.0,2021-07-10 11:57:22.032883
