
MUS Section 01,1845,25,25,No,0.0,2021-07-10 12:01:19.848258
MUS Section 02,1846,25,25,No,0.0,2021-07-10 12:01:19.848265
MUS Section 03,1847,25,25,No,0.0,2021-07-10 12:01:19.848272
MUS Section 04,1848,10,10,No,0.0,2021-07-10 12:01:19.848279
MUS Section 09,6875,9,10,No,10.0,2021-07-10 12:01:19.848286
MUS Section 01,1853,25,25,No,0.0,2021-07-10 12:01:19.848293
MUS Section 02,1854,25,25,No,0.0,2021-07-10 12:01:19.848301
MUS Section 01,1856,25,25,No,0.0,2021-07-10 12:01:19.848308
MUS Section 01,1858,25,25,No,0.0,2021-07-10 12:01:19.848315
MUS Section 01,1835,10,10,No,0.0,2021-07-10 12:01:19.848322
MUS Section 01,1836,10,10,No,0.0,2021-07-10 12:01:19.848329
MUS Section 01,1837,25,25,No,0.0,2021-07-10 12:01:19.848336
MUS Section 01,1860,25,25,No,0.0,2021-07-10 12:01:19.848344
MUS Section 01,1862,25,25,No,0.0,2021-07-10 12:01:19.848351
MUS Section 01,1864,25,25,No,0.0,2021-07-10 12:01:19.848358
MUS Section 01,1866,25,25,No,0.0,2021-07-10 12:01:19.848365
MUS Section 01,1868,25,25,No,0.0,2021-07-10 12:01:19.848372
MUS Section 01,1878,10,10,No,0.0,2021-07-10 12:01:19.848379
MUS Section 01,1870,25,25,No,0.0,2021-07-10 12:01:19.848386
MUS Section 01,1871,25,25,No,0.0,2021-07-10 12:01:19.848393
MUS Section 01,1872,10,10,No,0.0,2021-07-10 12:01:19.848400
MUS Section 01,1874,10,10,No,0.0,2021-07-10 12:01:19.848407
MUS Section 01,1876,10,10,No,0.0,2021-07-10 12:01:19.848414
MUS Section 02,1828,25,25,No,0.0,2021-07-10 12:01:19.848421
MUS Section 03,1829,25,25,No,0.0,2021-07-10 12:01:19.848428
MUS Section 04,1830,17,18,No,5.555555555555555,2021-07-10 12:01:19.848435
MUS Section 05,1831,9,10,No,10.0,2021-07-10 12:01:19.848442
MUS Section 01,6822,98,99,No,1.0101010101010102,2021-07-10 12:01:19.848449
MUS Section 02,8708,10,10,No,0.0,2021-07-10 12:01:19.848456
MUS Section 01,6823,99,99,No,0.0,2021-07-10 12:01:19.848463
MUS Section 02,8709,10,10,No,0.0,2021-07-10 12:01:19.848470
MUS Section 01,6824,67,70,No,4.285714285714286,2021-07-10 12:01:19.848477
MUS Section 01,6825,30,30,No,0.0,2021-07-10 12:01:19.848484
MUS Section 02,8711,10,10,No,0.0,2021-07-10 12:01:19.848492
MUS Section 01,6908,10,10,No,0.0,2021-07-10 12:01:19.848499
MUS Section 01,1902,40,40,No,0.0,2021-07-10 12:01:19.848506
MUS Section 02,1885,15,15,No,0.0,2021-07-10 12:01:19.848513
MUS Section 03,1886,40,40,No,0.0,2021-07-10 12:01:19.848520
MUS Section 04,1887,20,20,No,0.0,2021-07-10 12:01:19.848527
MUS Section 05,1888,20,20,No,0.0,2021-07-10 12:01:19.848534
MUS Section 07,1889,20,20,No,0.0,2021-07-10 12:01:19.848541
MUS Section 09,1890,10,10,No,0.0,2021-07-10 12:01:19.848548
MUS Section 10,1891,10,10,No,0.0,2021-07-10 12:01:19.848555
MUS Section 11,1892,10,10,No,0.0,2021-07-10 12:01:19.848562
MUS Section 12,1893,10,10,No,0.0,2021-07-10 12:01:19.848569
MUS Section 18,1899,10,10,No,0.0,2021-07-10 12:01:19.848576
MUS Section 21,6827,10,10,No,0.0,2021-07-10 12:01:19.848584
MUS Section 01,6828,24,25,No,4.0,2021-07-10 12:01:19.848591
MUS Section 02,8710,9,10,No,10.0,2021-07-10 12:01:19.848599
MUS Section 01,6829,90,90,No,0.0,2021-07-10 12:01:19.848606
MUS Section 01,6830,30,30,No,0.0,2021-07-10 12:01:19.848613
MUS Section 02,8712,10,10,No,0.0,2021-07-10 12:01:19.848620
WRK Section 01,8885,6,16,No,62.5,2021-07-10 12:01:19.848628
Lecture Section 01,6914,22,25,No,12.0,2021-07-10 12:01:19.848635
SEM Section 01,8870,13,16,No,18.75,2021-07-10 12:01:19.848642
SEM Section 01,6842,13,14,No,7.142857142857142,2021-07-10 12:01:19.848650
Lecture Section 01,6843,11,16,No,31.25,2021-07-10 12:01:19.848657
Lecture Section 01,6839,17,18,No,5.555555555555555,2021-07-10 12:01:19.848664
Lecture Section 001,6818,3,12,No,75.0,2021-07-10 12:01:19.848672
Lecture Section 002,6819,12,12,No,0.0,2021-07-10 12:01:19.848679
Laboratory Section 01L,6820,3,12,No,75.0,2021-07-10 12:01:19.848687
Laboratory Section 02L,6821,12,12,No,0.0,2021-07-10 12:01:19.848694
SEM Section 01,6840,0,18,No,100.0,2021-07-10 12:01:19.848702
SEM Section 01,6869,10,18,No,44.44444444444444,2021-07-10 12:01:19.848710
SEM Section 01,6910,8,10,No,20.0,2021-07-10 12:01:19.848717
TUT Section 01,6886,4,4,No,0.0,2021-07-10 12:01:19.848725
TUT Section 02,6887,4,4,No,0.0,2021-07-10 12:01:19.848732
TUT Section 03,6888,4,4,No,0.0,2021-07-10 12:01:19.848739
TUT Section 04,6889,4,4,No,0.0,2021-07-10 12:01:19.848746
SEM Section 01,4988,0,18,No,100.0,2021-07-10 12:01:19.848754
SEM Section 01,6897,15,18,No,16.666666666666664,2021-07-10 12:01:19.848762
SEM Section 01,6838,15,18,No,16.666666666666664,2021-07-10 12:01:19.848769
SEM Section 01,8895,0,16,No,100.0,2021-07-10 12:01:19.848777
SEM Section 01,7384,0,18,No,100.0,2021-07-10 12:01:19.848784
Lecture Section 001,6831,16,16,No,0.0,2021-07-10 12:01:19.848792
Laboratory Section 01L,6832,16,16,No,0.0,2021-07-10 12:01:19.848800
TUT Section 01,6882,4,4,No,0.0,2021-07-10 12:01:19.848808
TUT Section 02,6883,4,4,No,0.0,2021-07-10 12:01:19.848816
TUT Section 03,6884,4,4,No,0.0,2021-07-10 12:01:19.848823
TUT Section 04,6885,4,4,No,0.0,2021-07-10 12:01:19.848830
IND Section 01,1965,3,3,No,0.0,2021-07-10 12:01:19.848863
IND Section 01,1931,3,3,No,0.0,2021-07-10 12:01:19.848870
IND Section 05,1932,3,3,No,0.0,2021-07-10 12:01:19.848878
IND Section 08,1933,3,3,No,0.0,2021-07-10 12:01:19.848884
IND Section 10,1934,3,3,No,0.0,2021-07-10 12:01:19.848892
IND Section 15,1935,3,3,No,0.0,2021-07-10 12:01:19.848899
IND Section 17,1936,3,3,No,0.0,2021-07-10 12:01:19.848905
IND Section 20,1937,3,3,No,0.0,2021-07-10 12:01:19.848912
IND Section 33,1938,3,3,No,0.0,2021-07-10 12:01:19.848919
MUS Section 01,1903,9,10,No,10.0,2021-07-10 12:01:19.848927
MUS Section 02,1904,10,10,No,0.0,2021-07-10 12:01:19.848934
MUS Section 03,1905,10,10,No,0.0,2021-07-10 12:01:19.848941
MUS Section 04,1906,10,10,No,0.0,2021-07-10 12:01:19.848948
MUS Section 05,1907,10,10,No,0.0,2021-07-10 12:01:19.848955
MUS Section 06,1908,10,10,No,0.0,2021-07-10 12:01:19.848962
MUS Section 07,8804,5,5,No,0.0,2021-07-10 12:01:19.848969
MUS Section 08,1910,10,10,No,0.0,2021-07-10 12:01:19.848976
MUS Section 09,1911,10,10,No,0.0,2021-07-10 12:01:19.848983
MUS Section 10,1912,10,10,No,0.0,2021-07-10 12:01:19.848990
MUS Section 11,1913,10,10,No,0.0,2021-07-10 12:01:19.848996
MUS Section 12,1914,10,10,No,0.0,2021-07-10 12:01:19.849003
MUS Section 13,1915,10,10,No,0.0,2021-07-10 12:01:19.849010
MUS Section 14,1916,10,10,No,0.0,2021-07-10 12:01:19.849017
MUS Section 15,1917,10,10,No,0.0,2021-07-10 12:01:19.849024
MUS Section 16,1918,5,5,No,0.0,2021-07-10 12:01:19.849031
MUS Section 17,1919,5,5,No,0.0,2021-07-10 12:01:19.849038
MUS Section 18,1920,5,5,No,0.0,2021-07-10 12:01:19.849045
MUS Section 20,1922,5,5,No,0.0,2021-07-10 12:01:19.849052
MUS Section 01,6904,9,10,No,10.0,2021-07-10 12:01:19.849058
MUS Section 02,6905,10,10,No,0.0,2021-07-10 12:01:19.849065
MUS Section 03,6906,8,10,No,20.0,2021-07-10 12:01:19.849072
MUS Section 04,6907,10,10,No,0.0,2021-07-10 12:01:19.849079
SEM Section 01,8702,5,15,No,66.66666666666666,2021-07-10 12:01:19.849087
Lecture Section 001,6833,13,16,No,18.75,2021-07-10 12:01:19.849094
Laboratory Section 01L,6834,13,16,No,18.75,2021-07-10 12:01:19.849102
Laboratory Section 02L,10625,2,2,No,0.0,2021-07-10 12:01:19.849110
TUT Section 01,1928,4,4,No,0.0,2021-07-10 12:01:19.849117
TUT Section 03,1930,5,5,No,0.0,2021-07-10 12:01:19.849124
TUT Section 04,6844,4,4,No,0.0,2021-07-10 12:01:19.849131
TUT Section 05,6845,4,4,No,0.0,2021-07-10 12:01:19.849138
IND Section 01,1966,3,3,No,0.0,2021-07-10 12:01:19.849145
IND Section 02,1967,3,3,No,0.0,2021-07-10 12:01:19.849152
