Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Research Independent Study | CELLBIO 493,IND Section 01,4266,1,1,0.0,No,2021-06-30 21:45:20.842492
Research Independent Study | CELLBIO 493,IND Section 29,4294,1,1,0.0,No,2021-06-30 21:46:27.166066
Research Independent Study | CELLBIO 493,IND Section 30,4295,1,1,0.0,No,2021-06-30 21:46:29.555752
Research Independent Study | CELLBIO 493,IND Section 31,4296,1,1,0.0,No,2021-06-30 21:46:31.968951
Research Independent Study | CELLBIO 493,IND Section 32,4297,1,1,0.0,No,2021-06-30 21:46:34.327976
Research Independent Study | CELLBIO 493,IND Section 33,4298,1,1,0.0,No,2021-06-30 21:46:36.699719
Research Independent Study | CELLBIO 493,IND Section 34,4299,1,1,0.0,No,2021-06-30 21:46:39.069831
Research Independent Study | CELLBIO 493,IND Section 35,4300,1,1,0.0,No,2021-06-30 21:46:41.492945
Research Independent Study | CELLBIO 493,IND Section 36,4301,1,1,0.0,No,2021-06-30 21:46:43.825986
Research Independent Study | CELLBIO 493,IND Section 37,4302,1,1,0.0,No,2021-06-30 21:46:46.285816
Research Independent Study | CELLBIO 493,IND Section 38,4303,1,1,0.0,No,2021-06-30 21:46:48.678724
Research Independent Study | CELLBIO 493,IND Section 39,4304,1,1,0.0,No,2021-06-30 21:46:51.040871
Research Independent Study | CELLBIO 493,IND Section 40,4305,1,1,0.0,No,2021-06-30 21:46:53.434501
Research Independent Study | CELLBIO 493,IND Section 41,4306,1,1,0.0,No,2021-06-30 21:46:55.851172
Research Independent Study | CELLBIO 493,IND Section 42,4307,1,1,0.0,No,2021-06-30 21:46:58.344821
Research Independent Study | CELLBIO 493,IND Section 43,4308,1,1,0.0,No,2021-06-30 21:47:00.828235
Research Independent Study | CELLBIO 493,IND Section 44,4309,1,1,0.0,No,2021-06-30 21:47:03.190147
Research Independent Study | CELLBIO 493,IND Section 45,4310,1,1,0.0,No,2021-06-30 21:47:05.526171
Research Independent Study | CELLBIO 493,IND Section 46,4311,1,1,0.0,No,2021-06-30 21:47:07.932762
Research Independent Study | CELLBIO 493,IND Section 47,4312,1,1,0.0,No,2021-06-30 21:47:10.382637
Research Independent Study | CELLBIO 493,IND Section 48,4313,1,1,0.0,No,2021-06-30 21:47:12.871618
Research Independent Study | CELLBIO 493,IND Section 49,4314,1,1,0.0,No,2021-06-30 21:47:15.216470
Research Independent Study | CELLBIO 493,IND Section 50,4315,1,1,0.0,No,2021-06-30 21:47:17.584634
Research Independent Study | CELLBIO 493,IND Section 51,4316,1,1,0.0,No,2021-06-30 21:47:20.001226
Research Independent Study | CELLBIO 493,IND Section 52,4317,1,1,0.0,No,2021-06-30 21:47:22.415388
Research Independent Study | CELLBIO 493,IND Section 53,4318,1,1,0.0,No,2021-06-30 21:47:24.748276
Research Independent Study | CELLBIO 493,IND Section 54,4319,1,1,0.0,No,2021-06-30 21:47:27.082162
Research Independent Study | CELLBIO 493,IND Section 55,4320,1,1,0.0,No,2021-06-30 21:47:29.414348
Research Independent Study | CELLBIO 493,IND Section 56,4321,1,1,0.0,No,2021-06-30 21:47:31.836108
Research Independent Study | CELLBIO 493,IND Section 57,4322,1,1,0.0,No,2021-06-30 21:47:34.167338
Research Independent Study | CELLBIO 493,IND Section 58,4323,1,1,0.0,No,2021-06-30 21:47:36.491864
Research Independent Study | CELLBIO 493,IND Section 59,4324,1,1,0.0,No,2021-06-30 21:47:38.904910
Research Independent Study | CELLBIO 493,IND Section 60,4325,1,1,0.0,No,2021-06-30 21:47:41.325423
