Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Thrive | EGR 79D,Lecture Section 001,10120,144,144,0.0,No,2021-07-01 11:13:21.496488
Engineering Design and Communication | EGR 101L,Laboratory Section 05L,8087,36,36,0.0,No,2021-07-01 17:35:25.647703
Engineering Design and Communication | EGR 101L,Laboratory Section 06L,8088,40,40,0.0,No,2021-07-01 17:35:28.119497
Engineering Design and Communication | EGR 101L,Laboratory Section 07L,8089,17,17,0.0,No,2021-07-01 17:35:30.600241
Engineering Design and Communication | EGR 101L,Laboratory Section 08L,8090,40,40,0.0,No,2021-07-01 17:35:32.967440
Engineering Design and Communication | EGR 101L,Laboratory Section 09L,8091,18,18,0.0,No,2021-07-01 17:35:35.464045
Computational Methods in Engineering | EGR 103L,Lecture Section 001,8853,150,150,0.0,No,2021-07-01 17:35:37.791429
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 02L,8814,30,30,0.0,No,2021-07-01 17:35:40.178816
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 03L,8815,30,30,0.0,No,2021-07-01 17:35:42.647437
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 05L,8816,30,30,0.0,No,2021-07-01 17:35:45.005551
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 06L,8817,30,30,0.0,No,2021-07-01 17:35:47.368651
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 08L,8818,30,30,0.0,No,2021-07-01 17:35:49.794142
Special Topics in Engineering | EGR 190,Lecture Section 01,8069,30,30,0.0,No,2021-07-01 17:35:52.381703
Mechanics of Solids | EGR 201L,Lecture Section 001,8058,50,50,0.0,No,2021-07-01 17:35:55.008556
Mechanics of Solids | EGR 201L,Lecture Section 002,8059,50,50,0.0,No,2021-07-01 17:35:57.681838
Mechanics of Solids | EGR 201L,Lecture Section 003,8060,50,50,0.0,No,2021-07-01 17:36:00.264235
Mechanics of Solids | EGR 201L,Laboratory Section 11L,8061,25,25,0.0,No,2021-07-01 17:36:02.686544
Mechanics of Solids | EGR 201L,Laboratory Section 12L,8062,25,25,0.0,No,2021-07-01 17:36:05.073918
Mechanics of Solids | EGR 201L,Laboratory Section 21L,8063,25,25,0.0,No,2021-07-01 17:36:07.440319
Mechanics of Solids | EGR 201L,Laboratory Section 22L,8064,25,25,0.0,No,2021-07-01 17:36:09.812324
Mechanics of Solids | EGR 201L,Laboratory Section 31L,8065,25,25,0.0,No,2021-07-01 17:36:12.140789
Mechanics of Solids | EGR 201L,Laboratory Section 32L,8066,25,25,0.0,No,2021-07-01 17:36:14.487971
Fundamentals of Data Analysis and Decision Science | EGR 238L,Lecture Section 001,8108,30,30,0.0,No,2021-07-01 17:36:16.828392
Fundamentals of Data Analysis and Decision Science | EGR 238L,Laboratory Section 01L,8109,30,30,0.0,No,2021-07-01 17:36:19.513304
