Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
American Musicals | THEATRST 125S,SEM Section 01,8869,16,16,0.0,No,2021-07-01 11:22:05.626231
"Alexander Technique for Musicians, Dancers, and Actors | THEATRST 247",MUS Section 01,6902,12,12,0.0,No,2021-07-01 17:46:49.638458
The Art of Public Speaking: The Natural Voice | THEATRST 248S,SEM Section 01,8879,16,16,0.0,No,2021-07-01 17:46:52.005637
Directing | THEATRST 255S,SEM Section 01,8880,12,12,0.0,No,2021-07-01 17:46:54.369860
Costume Design | THEATRST 261S,SEM Section 01,8883,16,16,0.0,No,2021-07-01 17:46:56.709872
Acting For the Camera | THEATRST 275S,SEM Section 01,8887,16,16,0.0,No,2021-07-01 17:46:59.051541
Dramatic Writing | THEATRST 280S,SEM Section 01,8871,16,16,0.0,No,2021-07-01 17:47:01.380554
Ready for Prime Time: Writing the Dramatic TV Episode | THEATRST 285S,SEM Section 01,8898,16,16,0.0,No,2021-07-01 17:47:03.754079
Legal Issues for the Performing Arts | THEATRST 311S,SEM Section 01,8890,16,16,0.0,No,2021-07-01 17:47:06.109430
Shakespeare through 1600 | THEATRST 336,Lecture Section 01,7246,25,25,0.0,No,2021-07-01 17:47:08.529913
The Black Parades: African Diaspora Parade Culture and Radical Resistance | THEATRST 341S,SEM Section 01,5317,15,15,0.0,No,2021-07-01 17:47:10.847278
Advanced Acting: Contemporary Texts | THEATRST 345S,SEM Section 01,8878,16,16,0.0,No,2021-07-01 17:47:13.186214
Mainstage Acting (Top) | THEATRST 350-1,Lecture Section 01,8896,16,16,0.0,No,2021-07-01 17:47:15.522835
Mainstage Acting (Top) | THEATRST 350-1,Lecture Section 02,8897,16,16,0.0,No,2021-07-01 17:47:17.855576
History of Acting | THEATRST 402S,SEM Section 01,8908,16,16,0.0,No,2021-07-01 17:47:20.229533
